Updated Beneficiary,Category/Purpose,Department,Net value,VAT Value,Gross,Date incurred -Payment Date
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45034
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45041
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45047
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45054
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45062
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45068
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,5.71,0,5.71,45076
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,13.2,0,13.2,45020
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,13.2,0,13.2,45027
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,13.2,0,13.2,45034
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,13.2,0,13.2,45041
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,13.2,0,13.2,45047
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,13.2,0,13.2,45054
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,13.2,0,13.2,45062
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,13.2,0,13.2,45068
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,3.77,0,3.77,45076
Redacted Personal Data,Soc. Serv Client DP,Fostering,75,0,75,45022
Redacted Personal Data,Soc. Serv Client DP,Fostering,120,0,120,45034
Redacted Personal Data,Soc. Serv Client DP,Fostering,519,0,519,45041
Redacted Personal Data,Soc. Serv Client DP,Fostering,120,0,120,45051
Redacted Personal Data,Soc. Serv Client DP,Fostering,60,0,60,45062
Redacted Personal Data,Soc. Serv Client DP,Fostering,15,0,15,45069
Redacted Personal Data,Soc. Serv Client DP,Fostering,15,0,15,45071
Redacted Personal Data,Soc. Serv Client DP,Fostering,20,0,20,45097
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-75.17,0,-75.17,45035
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-66.22,0,-66.22,45062
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-68.42,0,-68.42,45096
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,2211.89,0,2211.89,45035
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,2140.55,0,2140.55,45062
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,2211.89,0,2211.89,45096
Redacted Personal Data,Residential Placemnt,Working Together - Learning Disability,8537.18,0,8537.18,45037
Redacted Personal Data,Residential Placemnt,Working Together - Learning Disability,8821.76,0,8821.76,45069
Redacted Personal Data,Residential Placemnt,Working Together - Learning Disability,8537.19,0,8537.19,45100
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45020
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45027
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45034
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45041
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45047
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45054
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45062
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45068
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45076
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45082
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45090
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,5.71,0,5.71,45096
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,1235,0,1235,45062
Redacted Personal Data,Carer's Service,Personalisation,160.8,0,160.8,45034
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,4258.65,0,4258.65,45035
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,4121.27,0,4121.27,45062
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,4258.65,0,4258.65,45096
Redacted Personal Data,Section 17,Asylum Client Expenditure,61.05,0,61.05,45020
Redacted Personal Data,Section 17,Asylum Client Expenditure,61.05,0,61.05,45027
Redacted Personal Data,Section 17,Asylum Client Expenditure,61.05,0,61.05,45034
Redacted Personal Data,Section 17,Asylum Client Expenditure,61.05,0,61.05,45041
Redacted Personal Data,Section 17,Asylum Client Expenditure,96.2,0,96.2,45047
Redacted Personal Data,Section 17,Asylum Client Expenditure,67.2,0,67.2,45054
Redacted Personal Data,Section 17,Asylum Client Expenditure,67.2,0,67.2,45062
Redacted Personal Data,Section 17,Asylum Client Expenditure,67.2,0,67.2,45068
Redacted Personal Data,Section 17,Asylum Client Expenditure,67.2,0,67.2,45076
Redacted Personal Data,Section 17,Asylum Client Expenditure,67.2,0,67.2,45082
Redacted Personal Data,Section 17,Asylum Client Expenditure,67.2,0,67.2,45090
Redacted Personal Data,Section 17,Asylum Client Expenditure,67.2,0,67.2,45096
Redacted Personal Data,Section 17,Asylum Client Expenditure,67.2,0,67.2,45104
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45020
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45027
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45034
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45041
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45047
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45054
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45062
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45068
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45076
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45082
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45090
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45096
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45104
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,14,0,14,45020
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,14,0,14,45027
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,14,0,14,45034
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,14,0,14,45041
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,14,0,14,45047
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,14,0,14,45054
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,14,0,14,45062
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,14,0,14,45068
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,14,0,14,45076
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,14,0,14,45082
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,14,0,14,45090
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,14,0,14,45096
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,14,0,14,45104
Redacted Personal Data,Adoption Allowances,Permanency Team,199.93,0,199.93,45022
Redacted Personal Data,Adoption Allowances,Permanency Team,155.5,0,155.5,45034
Redacted Personal Data,Adoption Allowances,Permanency Team,155.5,0,155.5,45041
Redacted Personal Data,Adoption Allowances,Permanency Team,155.5,0,155.5,45044
Redacted Personal Data,Adoption Allowances,Permanency Team,155.5,0,155.5,45051
Redacted Personal Data,Adoption Allowances,Permanency Team,155.5,0,155.5,45062
Redacted Personal Data,Adoption Allowances,Permanency Team,155.5,0,155.5,45069
Redacted Personal Data,Adoption Allowances,Permanency Team,155.5,0,155.5,45071
Redacted Personal Data,Adoption Allowances,Permanency Team,155.5,0,155.5,45083
Redacted Personal Data,Adoption Allowances,Permanency Team,155.5,0,155.5,45090
Redacted Personal Data,Adoption Allowances,Permanency Team,155.5,0,155.5,45097
Redacted Personal Data,Adoption Allowances,Permanency Team,155.5,0,155.5,45104
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,441.09,0,441.09,45035
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,426.85,0,426.85,45062
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,441.09,0,441.09,45096
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45020
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45027
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45034
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45041
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45047
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45054
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45062
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45068
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45076
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45082
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45090
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45096
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,5.71,0,5.71,45104
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,32,0,32,45020
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,32,0,32,45027
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,32,0,32,45034
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,32,0,32,45041
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,32,0,32,45047
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,32,0,32,45054
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,32,0,32,45062
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,32,0,32,45068
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,32,0,32,45076
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,32,0,32,45082
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,32,0,32,45090
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,32,0,32,45096
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,9.14,0,9.14,45104
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,1390.57,0,1390.57,45035
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,1345.72,0,1345.72,45062
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,1390.57,0,1390.57,45096
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,694.62,0,694.62,45034
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,672.22,0,672.22,45062
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,694.62,0,694.62,45096
Redacted Personal Data,Carer's Service,Personalisation,214.43,0,214.43,45034
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,2512.82,0,2512.82,45035
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,2431.75,0,2431.75,45062
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,1769.34,0,1769.34,45034
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,989.35,0,989.35,45062
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,1022.34,0,1022.34,45096
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-333.22,0,-333.22,45035
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-303.43,0,-303.43,45062
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-313.54,0,-313.54,45096
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,3100.93,0,3100.93,45035
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,3000.9,0,3000.9,45062
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,3100.93,0,3100.93,45096
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,942.4,0,942.4,45035
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,912,0,912,45062
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,942.4,0,942.4,45096
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,5881.14,0,5881.14,45034
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,5691.43,0,5691.43,45062
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,5881.14,0,5881.14,45096
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,439.67,0,439.67,45034
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,425.48,0,425.48,45062
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,439.67,0,439.67,45096
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,257.3,0,257.3,45035
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,249,0,249,45062
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,257.3,0,257.3,45096
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-213.61,0,-213.61,45035
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-194.62,0,-194.62,45062
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-201.1,0,-201.1,45096
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,278.11,0,278.11,45035
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,269.15,0,269.15,45062
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,278.11,0,278.11,45096
Redacted Personal Data,Misc Supp & Serv Cst,Wider Health Improvement,240,0,240,45022
Redacted Personal Data,Misc Supp & Serv Cst,Wider Health Improvement,300,0,300,45029
Redacted Personal Data,Foster Payments,Asylum Client Expenditure,444.86,0,444.86,45022
Redacted Personal Data,Foster Payments,Asylum Client Expenditure,346,0,346,45034
Redacted Personal Data,Foster Payments,Asylum Client Expenditure,346,0,346,45041
Redacted Personal Data,Foster Payments,Asylum Client Expenditure,446,0,446,45044
Redacted Personal Data,Foster Payments,Asylum Client Expenditure,346,0,346,45062
Redacted Personal Data,Foster Payments,Asylum Client Expenditure,346,0,346,45069
Redacted Personal Data,Foster Payments,Asylum Client Expenditure,346,0,346,45071
Redacted Personal Data,Foster Payments,Asylum Client Expenditure,346,0,346,45083
Redacted Personal Data,Foster Payments,Asylum Client Expenditure,346,0,346,45090
Redacted Personal Data,Foster Payments,Asylum Client Expenditure,346,0,346,45097
Redacted Personal Data,Foster Payments,Asylum Client Expenditure,346,0,346,45104
Redacted Personal Data,Soc. Serv Client DP,Fostering,1038,0,1038,45051
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,14.25,0,14.25,45020
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,14.25,0,14.25,45027
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,14.25,0,14.25,45034
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,14.25,0,14.25,45041
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,14.25,0,14.25,45047
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,14.25,0,14.25,45054
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,14.25,0,14.25,45062
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,14.25,0,14.25,45068
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,14.25,0,14.25,45076
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,14.25,0,14.25,45082
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,14.25,0,14.25,45090
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,4.07,0,4.07,45096
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,367.57,0,367.57,45034
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,355.72,0,355.72,45062
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,367.57,0,367.57,45096
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-161.82,0,-161.82,45035
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-147.43,0,-147.43,45062
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-152.34,0,-152.34,45096
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,1754.29,0,1754.29,45035
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,942.85,0,942.85,45062
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,974.29,0,974.29,45096
Redacted Personal Data,Travel Exp (Staff),SEN Transport,4650.33,0,4650.33,45030
Redacted Personal Data,Travel Exp (Staff),SEN Transport,3751.12,0,3751.12,45062
Redacted Personal Data,Travel Exp (Staff),SEN Transport,1143.18,0,1143.18,45064
Redacted Personal Data,Travel Exp (Staff),SEN Transport,2584.54,0,2584.54,45083
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,1235,0,1235,45096
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,1181.99,0,1181.99,45035
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,1143.85,0,1143.85,45062
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,1181.99,0,1181.99,45096
Reeson Care Homes Ltd,Nursing Care,Brent SNT Childrens,5831,0,5831,45027
REGENT NURSERY,Private Nurseries,2 year old offer,1245.6,0,1245.6,45085
REGENT NURSERY,Private Nurseries,Dsg Nursery Educ Grant 3yrs & 4yrs,25903.8,0,25903.8,45034
REGENT NURSERY,Private Nurseries,Dsg Nursery Educ Grant 3yrs & 4yrs,8601.9,0,8601.9,45089
Regional Fostering Services Ltd,Foster Payments,Childrens Placements,5975.21,0,5975.21,45022
Regional Fostering Services Ltd,Foster Payments,Childrens Placements,5782.46,0,5782.46,45057
Regional Fostering Services Ltd,Foster Payments,Childrens Placements,5975.21,0,5975.21,45085
Reliant Care Limited,Supptd Accommodation,Long Term Care,3642.86,0,3642.86,45037
Reliant Care Limited,Supptd Accommodation,Long Term Care,3764.29,0,3764.29,45069
Reliant Care Limited,Supptd Accommodation,Long Term Care,3642.85,0,3642.85,45100
Remark! Living,Respite Costs,Children With Disabilities Client Costs,1540,0,1540,45056
Remark! Living,Respite Costs,Children With Disabilities Client Costs,1568,0,1568,45061
Remedy Recruitment Group Ltd,Residential Schools,Dsg Outborough Placement-Fees,427.6,85.52,513.12,45021
Remedy Recruitment Group Ltd,Residential Schools,Dsg Outborough Placement-Fees,427.6,85.52,513.12,45027
Remedy Recruitment Group Ltd,Residential Schools,Dsg Outborough Placement-Fees,855.2,171.04,1026.24,45037
Remedy Recruitment Group Ltd,Residential Schools,Dsg Outborough Placement-Fees,427.6,85.52,513.12,45054
Remedy Recruitment Group Ltd,Residential Schools,Dsg Outborough Placement-Fees,427.6,85.52,513.12,45057
Remedy Recruitment Group Ltd,Residential Schools,Dsg Outborough Placement-Fees,569.56,113.92,683.48,45077
Remedy Recruitment Group Ltd,Residential Schools,Dsg Outborough Placement-Fees,427.6,85.52,513.12,45089
Rent Connect Ltd,Accommodation,Bed&Breakfast,66875,0,66875,45062
Rent Connect Ltd,Accommodation,Bed&Breakfast,66300,0,66300,45063
Rent Connect Ltd,Accommodation,Bed&Breakfast,79812.5,0,79812.5,45090
Rent Connect Ltd,Accommodation,Section 47 Team,1800,0,1800,45064
Rent Connect Ltd,Accommodation,Section 47 Team,600,0,600,45090
Rentokil Pest Control,Misc Premises Costs,Investment Properties Project,2000,400,2400,45078
Repro-Link,Misc Supp & Serv Cst,Wiseworks,150,30,180,45082
Repro-Link,Printing (external),Print Post Scanning,183,36.6,219.6,45082
Residential Care Providers Ltd,Residential Placemnt,Working Together - Learning Disability,7872.86,0,7872.86,45037
Residential Care Providers Ltd,Residential Placemnt,Working Together - Learning Disability,8135.29,0,8135.29,45069
Residential Care Providers Ltd,Residential Placemnt,Working Together - Learning Disability,7872.85,0,7872.85,45100
Residential Care Services Ltd,Residential Placemnt,Working Together - Learning Disability,4714.29,0,4714.29,45037
Residential Care Services Ltd,Residential Placemnt,Working Together - Learning Disability,4871.43,0,4871.43,45069
Residential Care Services Ltd,Residential Placemnt,Working Together - Learning Disability,4714.28,0,4714.28,45100
Response Technical Services Limited,Computer Maintenance,Print Post Scanning,2676,535.2,3211.2,45047
Restek UK Ltd,Landld Rprs Exit Cts,Cap - Housing,77413.63,15482.73,92896.36,45021
Rethink Mental Illness,Misc Supp & Serv Cst,Contracts & Voluntary Sector,88844.25,11700,100544.25,45069
Revitalise,Respite Costs,Long Term Care,2293,0,2293,45019
Reyooz Ltd,Other Professionals,Kenton Learning Centre,1013.54,202.71,1216.25,45022
RGE Services Limited,Build Maint Exit Cst,Non-Delegated Building Maintenance,16042.61,3208.52,19251.13,45061
RGE Services Limited,Build Maint Exit Cst,Non-Delegated Building Maintenance,5653.93,1130.79,6784.72,45079
RGE Services Limited,Build Maint Exit Cst,Non-Delegated Building Maintenance,9644.71,1928.94,11573.65,45100
Richardson Duston Ltd,Residential Placemnt,Working Together - Learning Disability,14827.93,0,14827.93,45037
Richardson Duston Ltd,Residential Placemnt,Working Together - Learning Disability,15322.19,0,15322.19,45069
Richardson Duston Ltd,Residential Placemnt,Working Together - Learning Disability,14827.93,0,14827.93,45100
RICS,Staff training - Gen,Building Control Chargeable,539,0,539,45057
Ridge Property and Construction,Build Maint Exit Cst,Cap - Housing,5220,1044,6264,45021
Ridge Property and Construction,Build Maint Exit Cst,Cap - Housing,1500,300,1800,45027
Rigby Taylor Ltd,Grounds Maintenance,Cemetries & Breakspear Crematorium,1449.94,289.99,1739.93,45027
Rigby Taylor Ltd,Grounds Maintenance,Leisure Centre,1250,250,1500,45089
Rigby Taylor Ltd,Grounds Maintenance,Parks/Open Spaces & Playing Fields,923.76,184.75,1108.51,45027
Rigby Taylor Ltd,Grounds Maintenance,Parks/Open Spaces & Playing Fields,1877.26,140.6,2017.86,45064
Rigby Taylor Ltd,Grounds Maintenance,Parks/Open Spaces & Playing Fields,1875,375,2250,45082
Rigby Taylor Ltd,Grounds Maintenance,Parks/Open Spaces & Playing Fields,357.64,71.53,429.17,45084
Rigby Taylor Ltd,Grounds Maintenance,Playground Grds Maint,2392,478.4,2870.4,45064
Rigby Taylor Ltd,Grounds Maintenance,Street Cleansing,6167.6,1233.52,7401.12,45092
Rigby Taylor Ltd,Staff training - Gen,Parks/Open Spaces & Playing Fields,1440,288,1728,45027
Rising Stars Nursery Ltd,Private Nurseries,Dsg Nursery Educ Grant 3yrs & 4yrs,18798.75,0,18798.75,45034
Rising Stars Nursery Ltd,Private Nurseries,Dsg Nursery Educ Grant 3yrs & 4yrs,18411.54,0,18411.54,45089
Rising Stars Nursery Ltd,Private Nurseries,EY SEN Inclusion Fund,2900,0,2900,45091
RMD Enterprises Ltd,Residential Placemnt,Long Term Care,7500,0,7500,45037
RMD Enterprises Ltd,Residential Placemnt,Long Term Care,7750,0,7750,45069
RMD Enterprises Ltd,Residential Placemnt,Long Term Care,6642.85,0,6642.85,45100
Roadtech,Repairs/Maintenance,Domestic Waste,93.5,18.7,112.2,45019
Roadtech,Repairs/Maintenance,Domestic Waste,87.8,17.56,105.36,45047
Roadtech,Repairs/Maintenance,Domestic Waste,109.4,21.88,131.28,45076
Roadtech,Repairs/Maintenance,Domestic Waste,106.7,21.34,128.04,45103
Robertson Rumsey Limited,Consultants Fees,Pension Fund Investment-Admin,4140,0,4140,45058
Roehampton Lodge Priory,Residential Schools,Ind & Non Maint Res Sch,21338.2,0,21338.2,45086
Rokill,Other Professionals,Harrow Arts Centre,357.5,71.5,429,45076
Rokill,Other Professionals,Harrow Museum,295,59,354,45068
Rooks Heath High School,Catering,Household Support Grant,5757.5,0,5757.5,45065
Rooks Heath High School,Grants and Subscript,DSG SEND Support Fund,30000,0,30000,45070
Rooks Heath Nursery School,Private Nurseries,2 year old offer,5293.8,0,5293.8,45085
Rooks Heath Nursery School,Private Nurseries,Dsg Nursery Educ Grant 3yrs & 4yrs,10527.3,0,10527.3,45034
Rooks Heath Nursery School,Private Nurseries,Dsg Nursery Educ Grant 3yrs & 4yrs,3383.1,0,3383.1,45089
Rooks Heath Nursery School,Private Nurseries,EY SEN Inclusion Fund,3200,0,3200,45091
Route To Transition Ltd,Semi Independent,Childrens Placements,10307.37,0,10307.37,45085
Route To Transition Ltd,Semi Independent,Leaving Care Placements,4428.57,0,4428.57,45022
Route To Transition Ltd,Semi Independent,Leaving Care Placements,4285.71,0,4285.71,45057
Rowlands Avenue Pre-School,Private Nurseries,2 year old offer,4048.2,0,4048.2,45085
Rowlands Avenue Pre-School,Private Nurseries,Dsg Nursery Educ Grant 3yrs & 4yrs,20302.65,0,20302.65,45034
Rowlands Avenue Pre-School,Private Nurseries,Dsg Nursery Educ Grant 3yrs & 4yrs,10538.55,0,10538.55,45089
Rowlands Avenue Pre-School,Private Nurseries,EY SEN Inclusion Fund,3800,0,3800,45091
Roxbourne Infant School,Schools Advances,Roxbourne Primary,124000,0,124000,45022
Roxbourne Infant School,Schools Advances,Roxbourne Primary,160000,0,160000,45028
Roxbourne Infant School,Schools Advances,Roxbourne Primary,130000,0,130000,45057
Roxbourne Infant School,Schools Advances,Roxbourne Primary,130000,0,130000,45091
Roxeth Mead School,Private Nurseries,Dsg Nursery Educ Grant 3yrs & 4yrs,26634.6,0,26634.6,45089
Roxeth Primary School,Schools Advances,Roxeth Primary,83300,0,83300,45022
Roxeth Primary School,Schools Advances,Roxeth Primary,155000,0,155000,45028
Roxeth Primary School,Schools Advances,Roxeth Primary,59000,0,59000,45050
Roxeth Primary School,Schools Advances,Roxeth Primary,155000,0,155000,45057
Roxeth Primary School,Schools Advances,Roxeth Primary,51600,0,51600,45085
Roxeth Primary School,Schools Advances,Roxeth Primary,145000,0,145000,45091
Roxmead Nursery School,Private Nurseries,2 year old offer,4671,0,4671,45085
Roxmead Nursery School,Private Nurseries,Dsg Nursery Educ Grant 3yrs & 4yrs,55644.3,0,55644.3,45034
Roxmead Nursery School,Private Nurseries,Dsg Nursery Educ Grant 3yrs & 4yrs,50220.75,0,50220.75,45089
Roxmead Nursery School,Private Nurseries,EY SEN Inclusion Fund,6200,0,6200,45091
Royal Association for Deaf People,Signers/Interpreters,Personalisation,181,36.2,217.2,45021
Royal Borough of Kensington and Chelsea,Other Agencies,Building Control Chargeable,17394.08,3478.82,20872.9,45029
Royal Borough of Kensington and Chelsea,Other Agencies,Homelessness,6500,0,6500,45063
Royal Borough of Kensington and Chelsea,Other Agencies,I.C.E.S. Pooled Budget,9450,0,9450,45027
Royal Mail Group Plc,Postage,Adult Strategic Management,350.22,70.04,420.26,45062
Royal Mail Group Plc,Postage,Adult Strategic Management,5.16,1.03,6.19,45084
Royal Mail Group Plc,Postage,Development Control,315,63,378,45021
Royal Mail Group Plc,Postage,Financial Assessment Team,61.67,12.34,74.01,45044
