Organisation,Supplier Name,Reference,Payment Date,Service Area/Capital Project Description,GL Account Description,Amount £ (Ex VAT)
LBHF,GT Gettaxi (UK) Limited,2324.4.CPMT.9041,45362,Disabled Children's Team,Payments to Transport Operators,2457.04
LBHF,City of London,2324.4.CPMT.908,45362,Substance Misuse/Offender Health Commiss,Payments to Health Authorities,2500
LBHF,GT Gettaxi (UK) Limited,2324.4.CPMT.9081,45362,Looked After Children & Leaving Care,Payments to Transport Operators,46687.72
LBHF,GT Gettaxi (UK) Limited,2324.4.CPMT.9115,45362,Allocations & Lettings (GF),Payments to Transport Operators,666.3
LBHF,Arc Group London Ltd,2324.4.CPMT.9235,45362,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Materials,5311
LBHF,Arc Group London Ltd,2324.4.CPMT.9236,45362,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Materials,5032
LBHF,Arc Group London Ltd,2324.4.CPMT.9237,45362,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Materials,1402
LBHF,Arc Group London Ltd,2324.4.CPMT.9238,45362,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Materials,994
LBHF,Arc Group London Ltd,2324.4.CPMT.9239,45362,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Materials,4119
LBHF,Arc Group London Ltd,2324.4.CPMT.9240,45362,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Materials,10273
LBHF,Arc Group London Ltd,2324.4.CPMT.9241,45362,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Materials,8253
LBHF,Arc Group London Ltd,2324.4.CPMT.9242,45362,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Materials,1205
LBHF,Arc Group London Ltd,2324.4.CPMT.9243,45362,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Materials,1622
LBHF,Arc Group London Ltd,2324.4.CPMT.9244,45362,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Materials,12828
LBHF,Arc Group London Ltd,2324.4.CPMT.9245,45362,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Materials,6608
LBHF,Arc Group London Ltd,2324.4.CPMT.9246,45362,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Materials,14565
LBHF,Arc Group London Ltd,2324.4.CPMT.9247,45362,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Materials,2950
LBHF,Arc Group London Ltd,2324.4.CPMT.9248,45362,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Materials,2444
LBHF,Arc Group London Ltd,2324.4.CPMT.9249,45362,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Materials,4069
LBHF,Arc Group London Ltd,2324.4.CPMT.9250,45362,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Materials,5599
LBHF,Arc Group London Ltd,2324.4.CPMT.9251,45362,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Materials,6689
LBHF,Arc Group London Ltd,2324.4.CPMT.9252,45362,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Materials,3142
LBHF,Arc Group London Ltd,2324.4.CPMT.9253,45362,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Materials,13752
LBHF,Arc Group London Ltd,2324.4.CPMT.9254,45362,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Materials,4521
LBHF,Arc Group London Ltd,2324.4.CPMT.9255,45362,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Materials,4131
LBHF,Arc Group London Ltd,2324.4.CPMT.9256,45362,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Materials,1748
LBHF,Arc Group London Ltd,2324.4.CPMT.9257,45362,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Materials,1314
LBHF,Arc Group London Ltd,2324.4.CPMT.9258,45362,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Materials,5686
LBHF,Arc Group London Ltd,2324.4.CPMT.9259,45362,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Materials,8133
LBHF,Arc Group London Ltd,2324.4.CPMT.9260,45362,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Materials,3919
LBHF,Arc Group London Ltd,2324.4.CPMT.9261,45362,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Materials,13763
LBHF,Arc Group London Ltd,2324.4.CPMT.9262,45362,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Materials,16246
LBHF,Arc Group London Ltd,2324.4.CPMT.9263,45362,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Materials,17418
LBHF,Arc Group London Ltd,2324.4.CPMT.9264,45362,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Materials,5341
LBHF,Arc Group London Ltd,2324.4.CPMT.9265,45362,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Materials,3344
LBHF,Etec Contract Services Ltd,2324.4.CPMT.9386,45362,Capital - Children's Services Capital Schemes,Capital - Contractors - Refurbishment and Restora,23183.94
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.9388,45362,Family Support and Child Protection,Assessment - Other,2500
LBHF,Hotel/B&B/Decant Accomodation - Location Redacted,2324.4.GPC.87,45362,Allocation and Lettings,Hire of Accommodation and Facilities,1733.67
LBHF,Hotel/B&B/Decant Accomodation - Location Redacted,2324.4.GPC.88,45362,Allocation and Lettings,Hire of Accommodation and Facilities,9728.62
LBHF,St.Christopher's Fellowship,2324.4.CPMT.11236,45363,Looked After Children & Leaving Care,Semi Independent Accomodation,3534
LBHF,Personal Data - Name Redacted,2324.4.CPMT.11607,45363,Allocations & Lettings (GF),Temporary Accommodation,822.78
LBHF,Personal Data - Name Redacted,2324.4.CPMT.11634,45363,Allocations & Lettings (GF),Temporary Accommodation,1507.8
LBHF,Personal Data - Name Redacted,2324.4.CPMT.11693,45363,Allocations & Lettings (GF),Temporary Accommodation,1351.37
LBHF,Personal Data - Name Redacted,2324.4.CPMT.12252,45363,Allocations & Lettings (GF),Temporary Accommodation,1303.57
LBHF,Personal Data - Name Redacted,2324.4.CPMT.12303,45363,Allocations & Lettings (GF),Temporary Accommodation,1599.05
LBHF,Personal Data - Name Redacted,2324.4.CPMT.12304,45363,Allocations & Lettings (GF),Temporary Accommodation,1218.84
LBHF,Personal Data - Name Redacted,2324.4.CPMT.12305,45363,Allocations & Lettings (GF),Temporary Accommodation,1218.84
LBHF,Personal Data - Name Redacted,2324.4.CPMT.12306,45363,Allocations & Lettings (GF),Temporary Accommodation,1218.84
LBHF,Personal Data - Name Redacted,2324.4.CPMT.12307,45363,Allocations & Lettings (GF),Temporary Accommodation,1218.84
LBHF,Personal Data - Name Redacted,2324.4.CPMT.12308,45363,Allocations & Lettings (GF),Temporary Accommodation,989.46
LBHF,Personal Data - Name Redacted,2324.4.CPMT.12309,45363,Allocations & Lettings (GF),Temporary Accommodation,1506.19
LBHF,Personal Data - Name Redacted,2324.4.CPMT.12310,45363,Allocations & Lettings (GF),Temporary Accommodation,1220.45
LBHF,Personal Data - Name Redacted,2324.4.CPMT.12311,45363,Allocations & Lettings (GF),Temporary Accommodation,1599.03
LBHF,Personal Data - Name Redacted,2324.4.CPMT.12312,45363,Allocations & Lettings (GF),Temporary Accommodation,1599.03
LBHF,Personal Data - Name Redacted,2324.4.CPMT.12313,45363,Allocations & Lettings (GF),Temporary Accommodation,1300.01
LBHF,Dennis Reed Ltd,2324.4.CPMT.12461,45363,Allocations & Lettings (GF),Temporary Accommodation,1473.04
LBHF,Dennis Reed Ltd,2324.4.CPMT.12462,45363,Allocations & Lettings (GF),Temporary Accommodation,1473.04
LBHF,Personal Data - Name Redacted,2324.4.CPMT.12505,45363,Allocations & Lettings (GF),Temporary Accommodation,1247.08
LBHF,Personal Data - Name Redacted,2324.4.CPMT.12560,45363,Allocations & Lettings (GF),Temporary Accommodation,1194.94
LBHF,Personal Data - Name Redacted,2324.4.CPMT.12563,45363,Allocations & Lettings (GF),Temporary Accommodation,1060.24
LBHF,Clockwork Removals,2324.4.CPMT.1351,45363,Head of Rent Income Team,Facilities Management - Archiving,960
LBHF,Clockwork Removals,2324.4.CPMT.1354,45363,Allocation and Lettings,Facilities Management - Archiving,975.47
LBHF,Clockwork Removals,2324.4.CPMT.1372,45363,Allocation and Lettings,Removal Costs,-1140
LBHF,Hestia Housing & Support,2324.4.CPMT.140,45363,Supported Housing,Payments to Private Contractors,21286.5
LBHF,Greenwich Leisure Ltd (Gll),2324.4.CPMT.1516,45363,Capital - Leisure Centres investment,Capital - Contractors - New and Enhancement,405000
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.1559,45363,Family Support,Fees - Technical and Professional Consul,1083.75
LBHF,London Cyrenians Housing Ltd,2324.4.CPMT.1693,45363,Ageing Well,Payments to Voluntary Bodies,46791.33
LBHF,Play Association Hammersmith & Fulham,2324.4.CPMT.1720,45363,Disabled Children's Team,Care Packages,693
LBHF,Play Association Hammersmith & Fulham,2324.4.CPMT.1721,45363,Disabled Children's Team,Care Packages,866.25
LBHF,Play Association Hammersmith & Fulham,2324.4.CPMT.1722,45363,Disabled Children's Team,Care Packages,1039.5
LBHF,Shepherds Bush Housing Association,2324.4.CPMT.194,45363,Capital - DFG Private Clients,Capital - Contractors - Refurbishment and Restora,2799
LBHF,Shepherds Bush Housing Association,2324.4.CPMT.196,45363,Capital - DFG Private Clients,Capital - Contractors - Refurbishment and Restora,1101.52
LBHF,A N Contract Service Ltd,2324.4.CPMT.2260,45363,Parks and Leisure,"Tools, Furniture, Materials - Equipment",2895
LBHF,A N Contract Service Ltd,2324.4.CPMT.2280,45363,Parks and Leisure,Reactive Repairs & Maintenance - Grounds,3721
LBHF,Personal Data - Name Redacted,2324.4.CPMT.23625,45363,Allocations & Lettings (GF),Temporary Accommodation,1916.25
LBHF,Personal Data - Name Redacted,2324.4.CPMT.23684,45363,Allocations & Lettings (GF),Temporary Accommodation,1622.47
LBHF,Personal Data - Name Redacted,2324.4.CPMT.23708,45363,Allocations & Lettings (GF),Temporary Accommodation,1857.68
LBHF,Personal Data - Name Redacted,2324.4.CPMT.23709,45363,Allocations & Lettings (GF),Temporary Accommodation,1506.19
LBHF,Personal Data - Name Redacted,2324.4.CPMT.23935,45363,Allocations & Lettings (GF),Temporary Accommodation,1328.77
LBHF,John Rowan & Partners Llp,2324.4.CPMT.2401,45363,Capital - Compliance Concrete/Structural works,Capital - Professional Fees - Non-Legal,1000
LBHF,John Rowan & Partners Llp,2324.4.CPMT.2403,45363,Capital - Linacre Court TRA Community Hall,Capital - Professional Fees - Non-Legal,2159
LBHF,Personal Data - Name Redacted,2324.4.CPMT.25466,45363,Allocations & Lettings (GF),Temporary Accommodation,1586.01
LBHF,Personal Data - Name Redacted,2324.4.CPMT.25583,45363,Allocations & Lettings (GF),Temporary Accommodation,1586.01
LBHF,Personal Data - Name Redacted,2324.4.CPMT.25915,45363,Allocations & Lettings (GF),Temporary Accommodation,637.78
LBHF,Personal Data - Name Redacted,2324.4.CPMT.25918,45363,Allocations & Lettings (GF),Temporary Accommodation,2107.44
LBHF,Personal Data - Name Redacted,2324.4.CPMT.25982,45363,Allocations & Lettings (GF),Temporary Accommodation,1445.05
LBHF,Capita Business Services Ltd,2324.4.CPMT.26,45363,Benefits,Fees - Management Consultancy,7133.2
LBHF,Personal Data - Name Redacted,2324.4.CPMT.26024,45363,Allocations & Lettings (GF),Temporary Accommodation,1012.44
LBHF,ARD Playgrounds,2324.4.CPMT.2669,45363,Parks and Leisure,Reactive Repairs & Maintenance - Grounds,625
LBHF,ARD Playgrounds,2324.4.CPMT.2670,45363,Parks and Leisure,Reactive Repairs & Maintenance - Grounds,518
LBHF,Personal Data - Name Redacted,2324.4.CPMT.26981,45363,Allocations & Lettings (GF),Temporary Accommodation,1175
LBHF,Personal Data - Name Redacted,2324.4.CPMT.26990,45363,Allocations & Lettings (GF),Temporary Accommodation,1473.04
LBHF,Personal Data - Name Redacted,2324.4.CPMT.26993,45363,Allocations & Lettings (GF),Temporary Accommodation,986.02
LBHF,Personal Data - Name Redacted,2324.4.CPMT.26996,45363,Allocations & Lettings (GF),Temporary Accommodation,1399.99
LBHF,Personal Data - Name Redacted,2324.4.CPMT.27002,45363,Allocations & Lettings (GF),Temporary Accommodation,1303.57
LBHF,Personal Data - Name Redacted,2324.4.CPMT.27005,45363,Allocations & Lettings (GF),Temporary Accommodation,1086.31
LBHF,Personal Data - Name Redacted,2324.4.CPMT.27008,45363,Allocations & Lettings (GF),Temporary Accommodation,1086.31
LBHF,Personal Data - Name Redacted,2324.4.CPMT.27015,45363,Allocations & Lettings (GF),Temporary Accommodation,1690.3
LBHF,Personal Data - Name Redacted,2324.4.CPMT.27016,45363,Allocations & Lettings (GF),Temporary Accommodation,1444.92
LBHF,Personal Data - Name Redacted,2324.4.CPMT.27085,45363,Allocations & Lettings (GF),Temporary Accommodation,1173.21
LBHF,Personal Data - Name Redacted,2324.4.CPMT.27088,45363,Allocations & Lettings (GF),Temporary Accommodation,1622.73
LBHF,Personal Data - Name Redacted,2324.4.CPMT.27091,45363,Allocations & Lettings (GF),Temporary Accommodation,1160.18
LBHF,Personal Data - Name Redacted,2324.4.CPMT.27095,45363,Allocations & Lettings (GF),Temporary Accommodation,1622.47
LBHF,Personal Data - Name Redacted,2324.4.CPMT.27098,45363,Allocations & Lettings (GF),Temporary Accommodation,590.58
LBHF,Personal Data - Name Redacted,2324.4.CPMT.27101,45363,Allocations & Lettings (GF),Temporary Accommodation,1764.17
LBHF,Personal Data - Name Redacted,2324.4.CPMT.27133,45363,Allocations & Lettings (GF),Temporary Accommodation,1590.01
LBHF,Personal Data - Name Redacted,2324.4.CPMT.27136,45363,Allocations & Lettings (GF),Temporary Accommodation,1084.57
LBHF,Personal Data - Name Redacted,2324.4.CPMT.27155,45363,Allocations & Lettings (GF),Temporary Accommodation,1616.43
LBHF,Personal Data - Name Redacted,2324.4.CPMT.27158,45363,Allocations & Lettings (GF),Temporary Accommodation,1347.02
LBHF,Personal Data - Name Redacted,2324.4.CPMT.27161,45363,Allocations & Lettings (GF),Temporary Accommodation,1027.82
LBHF,Personal Data - Name Redacted,2324.4.CPMT.28152,45363,Allocations & Lettings (GF),Temporary Accommodation,1616.43
LBHF,Phase II Care Ltd,2324.4.CPMT.28175,45363,Looked After Children & Leaving Care,Semi Independent Accomodation,4588
LBHF,Phase II Care Ltd,2324.4.CPMT.28176,45363,Looked After Children & Leaving Care,Semi Independent Accomodation,4588.04
LBHF,Phase II Care Ltd,2324.4.CPMT.28177,45363,Looked After Children & Leaving Care,Semi Independent Accomodation,3774.91
LBHF,Personal Data - Name Redacted,2324.4.CPMT.28360,45363,Allocations & Lettings (GF),Temporary Accommodation,1486.07
LBHF,Personal Data - Name Redacted,2324.4.CPMT.28799,45363,Allocations & Lettings (GF),Temporary Accommodation,1175
LBHF,Personal Data - Name Redacted,2324.4.CPMT.28868,45363,Allocations & Lettings (GF),Temporary Accommodation,1375.01
LBHF,Taylor Charles Ltd,2324.4.CPMT.28896,45363,Allocations & Lettings (GF),Temporary Accommodation,2546.31
LBHF,Taylor Charles Ltd,2324.4.CPMT.28897,45363,Allocations & Lettings (GF),Temporary Accommodation,1829.35
LBHF,Taylor Charles Ltd,2324.4.CPMT.28898,45363,Allocations & Lettings (GF),Temporary Accommodation,1919.99
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.2973,45363,SEND and Inclusion,Element 3 - Top-up Funding,10259.28
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.2974,45363,SEND and Inclusion,Element 3 - Top-up Funding,8406.34
LBHF,Core Projects Ltd,2324.4.CPMT.2993,45363,Capital - Sulivan Enterprise Centre,Capital - Contractors - New and Enhancement,1620
