Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,16/01/2024,Research & development,Chief Scientific Adviser,EARSWITCH LTD,INV-0056,26188,Invention for Innovation (I4I),SG8 0SS,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,16/01/2024,Research & development,Chief Scientific Adviser,CANSENSE GROUP LTD,CSG 00022 2023,39750.3,Invention for Innovation (I4I),SO16 7NP,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Service charge - ICT,Chief Scientific Adviser,HAPPY MOOSE LIMITED,DHSC-ACP SDE DEV (ZU,156005.84,,OL10 4AG,Small,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Research & development,Chief Scientific Adviser,ROSA BIOTECH LIMITED,INV-0016,44300.7,Invention for Innovation (I4I),BS2 0XL,Small,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Research & development,Chief Scientific Adviser,OXFORD HEARTBEAT LTD,DOH/2023/001,62000,,WC1N 3HB,Small,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Research & development,Chief Scientific Adviser,MEDICAL RESEARCH COUNCIL MRC,ASI0043449,424933.63,NIHR/MRC 2019-nCoV Rapid Response Call,SN2 1FF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Research & development,Chief Scientific Adviser,MEDICAL RESEARCH COUNCIL MRC,ASI0043448,216675.29,CARP,SN2 1FF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Research & development,Chief Scientific Adviser,EARSWITCH LTD,INV-0055,26188,Invention for Innovation (I4I),SG8 0SS,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Fast streamers,Chief Scientific Adviser,CABINET OFFICE,3835989,14622,,FY5 9BU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Fast streamers,Chief Scientific Adviser,CABINET OFFICE,3835989,14622,,FY5 9BU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Fast streamers,Chief Scientific Adviser,CABINET OFFICE,3834272,28740,,FY5 9BU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,YORK UNIVERSITY OF,ASI0043256,100880,Policy Research Programme (PRP) - Projects,YO10 5DD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,WRIGHTINGTON WIGAN AND LEIGH NHS FOUNDATION TRUST,ASI0043343,45466,Research Capability Funding - Standard,WN1 1XX,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,WHITTINGTON HEALTH NHS TRUST,ASI0043342,35831,Research Capability Funding - Standard,N19 5NF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY HOSPITALS SUSSEX NHS FT,ASI0043360,34021,Research Capability Funding - Standard,BN11 2DH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,ASI0043319,36682,Research Capability Funding - Standard,WF3 1WE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST.,ASI0043331,30878,Research Capability Funding - Standard,ST4 7LN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ASI0043388,2070785,Clinical Research Network,LE5 4QF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ASI0043290,177804,Research Capability Funding - Standard,LE5 4QF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,ASI0043322,196201,Research Capability Funding - Standard,DE1 2QY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY HOSPITALS COVENTRY & WARWICKSHIRE NHS TRUST,ASI0043289,236478,Research Capability Funding - Standard,CV2 2DX,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,ASI0043400,1325762,Clinical Research Network,BS1 9JR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,ASI0043286,167327,Research Capability Funding - Standard,BS1 9JR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,ASI0043258,216456,Applied Research Collaborations (ARCs),BS1 9JR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ASI0043417,44865,Programme Development Grants (for Applied Research),SO16 6YD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ASI0043398,1768232,Clinical Research Network,SO16 6YD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ASI0043285,500726,Research Capability Funding - Standard,SO16 6YD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ASI0043267,362588,Applied Research Collaborations (ARCs),SO16 6YD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ASI0043308,300038,Research Capability Funding - Standard,B15 2TH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ASI0043266,175397,Applied Research Collaborations (ARCs),B15 2TH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ASI0043251,96293,Medtech and in-vitro disgnotic Cooperatives (MIC),B15 2TH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY COLLEGE LONDON UCL,ASI0043420,32558,Invention for Innovation (I4I),WC1E 6BT,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY COLLEGE LONDON UCL,ASI0043419,120445.2,Health Services and Delivery Research,WC1E 6BT,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY COLLEGE LONDON UCL,ASI0043269,70000,Policy Research Programme (PRP) - Projects,WC1E 6BT,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ASI0043367,516173,LONG COVID 19 CALL,NW1 2BX,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ASI0043297,341165,Research Capability Funding - Standard,NW1 2BX,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,THE SOLENT NHS TRUST R1C,ASI0043298,108390,Research Capability Funding - Standard,SO16 4XE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,THE ROYAL WOLVERHAMPTON NHS TRUST,ASI0043399,2531553,Clinical Research Network,WV10 0QP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ASI0043366,134983,Invention for Innovation (I4I),SW3 6JJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ASI0043279,176250,Research Capability Funding - Standard,SW3 6JJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ASI0043392,1806110,Clinical Research Network,NE7 7DN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ASI0043324,209612,Research Capability Funding - Standard,NE7 7DN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,THE CHRISTIE NHS FOUNDATION TRUST,ASI0043347,49290,Research Capability Funding - Standard,M20 4BX,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,TEES ESK AND WEAR VALLEYS NHS FOUNDATION TRUST,ASI0043341,79829,Research Capability Funding - Standard,TS6 0SZ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST,ASI0043335,46712,Research Capability Funding - Standard,NW3 5BA,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,ASI0043295,32746,Research Capability Funding - Standard,BN13 3EP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,ASI0043270,367632,Applied Research Collaborations (ARCs),BN13 3EP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,SOUTHERN HEALTH NHS FOUNDATION TRUST,ASI0043299,100590,Research Capability Funding - Standard,SO40 2RZ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ASI0043284,117163,Research Capability Funding - Standard,TS4 3BW,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ASI0043283,254920,Research Capability Funding - Standard,BR3 3BX,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,SOMERSET NHS FOUNDATION TRUST,ASI0043429,38748,Research Capability Funding - Standard,TA1 4DY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ASI0043401,2536337,Clinical Research Network,S5 7AU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ASI0043282,310455,Research Capability Funding - Standard,S5 7AU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST,ASI0043340,94123,Research Capability Funding - Standard,S6 1LX,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,ASI0043363,37405,Research Capability Funding - Standard,S10 2TH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,ASI0043280,52716,Research Capability Funding - Standard,BA1 3NG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,ROYAL SURREY COUNTY NHS FOUNDATION TRUST,ASI0043391,1461179,Clinical Research Network,GU2 7XX,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,ROYAL FREE LONDON NHS FOUNDATION TRUST,ASI0043288,49997,Research Capability Funding - Standard,NW3 2QG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,ASI0043412,311920,Applied Research Collaborations (ARCs),EX1 2ED,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,ASI0043410,104136,Research Capability Funding - Standard,EX1 2ED,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,ASI0043409,1185130,Clinical Research Network,EX1 2ED,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,ASI0043422,100566.15,HTA Other Therapeutic Interventions,DN4 8QN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,PENNINE CARE NHS FOUNDATION TRUST,ASI0043349,29159,Research Capability Funding - Standard,OL6 7SR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ASI0043339,85364,Research Capability Funding - Standard,CB23 3RE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/01/2024,Research & development,Chief Scientific Adviser,OXFORD UNIVERSITY OF,ASI0043274,128533,COVID19 Risk Prediction Centres,OX1 2JD,Govn,,,
