Portfolio,Directorate,Division,Service Area,Type of Expenditure,Payee,Payment Date,Amount (£)
People,Children´s Services,Children´s Social Care,Children in Care,Secure - Welfare,Nugent Care,45315,61500
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Academy Services (Oldham) Ltd,45303,60965.16
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Tulip Community Care,45315,60059.4
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Tulip Community Care,45367,60059.4
Place,Strategic Highways,Capital - Transport,Capital - Trans - Highway Major Works/Drainage schemes,Construction - Main Contractor,Rowan Ashworth Ltd,45328,58209.2
People,Children´s Services,Children´s Social Care,Children in Care,Secure - Welfare,Nugent Care,45345,57400
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Oasis Academy Leesbrook,45303,57371
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Alt Academy,45377,56745.25
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,Turning Point Services Ltd,45299,56568.96
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Woodlands Primary Academy,45377,56464.19
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Tulip Community Care,45343,56184.6
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Skyline Ltd (105503),45349,55911
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Aids And Appliances,Housing 21,45369,55902.58
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Focus Academy Trust t/a Roundthorn Primary Academy,45300,55292.2
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Waterhead Academy,45377,55240
Place,Economy,Economy,Estates,Water Services,Anglian Water Business (National) t/a Wave,45352,54910.43
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,"St Edwards RC Primary, a Voluntary Academy",45376,54761.97
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Greenacres Primary Academy,45376,54266.4
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Skyline Ltd (105503),45364,54036.5
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,ICS Operations Limited,45329,53550.5
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Agency,Gleeds Advisory Ltd,45296,53238
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Nustart,45313,52907.7
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Nustart,45336,52907.7
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Our Childrens Generation,45301,52000
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Our Childrens Generation,45329,52000
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Our Childrens Generation,45365,52000
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Services - Professional Fees,Prospero Recruitment Ltd,45334,51654.5
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Willowpark Primary Academy,45300,51498.06
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Blue Coat School Fund,45377,51053
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Computing - Purchase Of Software,Softcat Limited,45315,51035.4
Place,Economy,Economy,Creating a Better Place,Services - Professional Fees,Bloom Procurement Services Ltd,45300,51000
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Littlemoor Primary School,45303,50522.87
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Aaban Partnership Ltd,45322,50432.8
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Aaban Partnership Ltd,45329,50432.8
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Aaban Partnership Ltd,45356,50432.8
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Aaban Partnership Ltd,45376,50432.8
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Esland Care,45294,50160.79
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Esland Care,45329,50160.79
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Esland Care,45371,50160.79
Corporate Services,Corporate Services,Capital - IT,Capital - IT,Computer Implementation,TNP Ltd,45301,50148.84
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Family Hubs - Parenting Support,Home Start Oldham Ltd,45331,50000
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Nustart,45365,49494.3
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Willowpark Primary Academy,45376,49295.82
People,Children´s Services,Capital - CYPF,Capital - CYPF,Construction - Main Contractor,E Smith & Son,45351,49195.11
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Medlock Valley Primary School,45303,48981.91
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Woodlands Primary Academy,45300,48684.75
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Academy Services (Oldham) Ltd,45355,48564.58
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,North Chadderton School,45322,48359.99
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Greenacres Primary Academy,45303,47754.2
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Asset Mgt - Asset Management,Construction - Main Contractor,J Greenwood (Builders) Ltd,45372,47511.25
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Focus Academy Trust t/a Roundthorn Primary Academy,45379,47260.8
Corporate Services,Corporate Services,Finance,Finance,Click Travel - Consolidated Invoice Account,TravelPerk UK IRL Ltd,45356,47156.68
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,ICS Operations Limited,45349,47077.01
Place,Economy,Economy,Creating a Better Place,Services - Professional Fees,Bloom Procurement Services Ltd,45299,47000
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Esland Care,45355,46924.61
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,E-ACT Royton & Crompton Academy,45376,46920
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,The Oak Trust - Thorp Primary School,45300,46720.62
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Oasis Academy Oldham,45376,45902
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,The Oak Trust - Fir Bank Primary School,45376,45805.82
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Medlock Valley Primary School,45377,45748.67
Place,Economy,Economy,Estates,Water Services,Anglian Water Business (National) t/a Wave,45322,45670
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Construction - Main Contractor,The Hub Consulting Limited,45369,45371.66
Corporate Services,Corporate Services,Finance,Finance,Click Travel - Consolidated Invoice Account,TravelPerk UK IRL Ltd,45316,45004.27
People,Children´s Services,Preventative Services,Targeted Youth,Grants,Positive Steps Oldham,45362,45000
Capital Treasury and Technical Accounting,Capital Treasury and Technical Accounting,Corporate Expenses,Corporate Expenses,Public Liability Insurance,Crawford & Company Adjusters (UK) Limited,45314,45000
Capital Treasury and Technical Accounting,Capital Treasury and Technical Accounting,Corporate Expenses,Corporate Expenses,Public Liability Insurance,Crawford & Company Adjusters (UK) Limited,45345,45000
Capital Treasury and Technical Accounting,Capital Treasury and Technical Accounting,Corporate Expenses,Corporate Expenses,Public Liability Insurance,Crawford & Company Adjusters (UK) Limited,45376,45000
People,Children´s Services,Children´s Social Care,Children in Care,Secure - Welfare,Nugent Care,45322,44950
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Holy Family RC School,45376,44889.73
Place,Economy,Economy,Facilities Management,Catering - Food,Ralph Livesey Ltd,45330,44724.14
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Waterhead Academy,45303,44295
People,Children´s Services,Schools,Schools,Services - Payments To Contractors,The Manchester College,45364,43921.54
People,Children´s Services,Children´s Social Care,Children in Care,Secure - Welfare,Nugent Care,45294,43750
People,Children´s Services,Capital - CYPF,Capital - CYPF,Construction - Main Contractor,E Smith & Son,45376,43707.81
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Borough Taxis Ltd,45369,43617
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Focus Academy Trust (UK) Ltd TA Lyndhurst Primary School,45322,43496
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Computing - Purchase Of Software,Blue Cube Security Limited,45344,43264.11
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,VoiceAbility Advocacy,45355,43200
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Services - Professional Fees,Prospero Recruitment Ltd,45372,43177.5
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Asset Mgt - Asset Management,Construction - Main Contractor,E Smith & Son,45350,42906.73
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Kibble Education and Care Centre,45315,42904
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Kibble Education and Care Centre,45336,42904
People,Leisure Services,Leisure Services,Leisure Services,Services - Payments To Contractors,Oldham Community Leisure Ltd,45293,42833.4
People,Leisure Services,Leisure Services,Leisure Services,Services - Payments To Contractors,Oldham Community Leisure Ltd,45293,42833.4
People,Leisure Services,Leisure Services,Leisure Services,Services - Payments To Contractors,Oldham Community Leisure Ltd,45315,42833.4
People,Leisure Services,Leisure Services,Leisure Services,Services - Payments To Contractors,Oldham Community Leisure Ltd,45349,42833.4
People,Leisure Services,Leisure Services,Leisure Services,Services - Payments To Contractors,Oldham Community Leisure Ltd,45364,42833.4
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Kibble Education and Care Centre,45315,42299.5
