PAYMENT DATE,SUPPLIER,SERVICE,DEPARTMENT,DESCRIPTION,£ SPEND (EXCLUDING VAT),
25/03/2024,Crown Housing Limited,BED & BREAKFAST,HOUSING NEEDS,RENTS PAYABLE,17871.5,
25/03/2024,Croydon Court Ltd,BED & BREAKFAST,HOUSING NEEDS,RENTS PAYABLE,5365,
25/03/2024,Debigno Ltd T/a Pathway Analytics,SEXUAL HEALTH COMMISSIONING FUNCTION,SEXUAL HEALTH,HEALTHCARE SERVICES - GENERAL,629.94,
25/03/2024,Denhan Property Services Ltd T/as Denhan International,UKRAINIAN REFUGEE PROGRAMME,HOUSING NEEDS,PRIVATE CONTRACTORS PAYMENT - OTHER,1200,
25/03/2024,Denhan Property Services Ltd T/as Denhan International,UKRAINIAN REFUGEE PROGRAMME,HOUSING NEEDS,PRIVATE CONTRACTORS PAYMENT - OTHER,1120,
25/03/2024,Denhan Property Services Ltd T/as Denhan International,UKRAINIAN REFUGEE PROGRAMME,HOUSING NEEDS,PRIVATE CONTRACTORS PAYMENT - OTHER,1200,
25/03/2024,Denhan Property Services Ltd T/as Denhan International,UKRAINIAN REFUGEE PROGRAMME,HOUSING NEEDS,PRIVATE CONTRACTORS PAYMENT - OTHER,1890,
25/03/2024,Denhan Property Services Ltd T/as Denhan International,UKRAINIAN REFUGEE PROGRAMME,HOUSING NEEDS,PRIVATE CONTRACTORS PAYMENT - OTHER,490,
25/03/2024,Denhan Property Services Ltd T/as Denhan International,UKRAINIAN REFUGEE PROGRAMME,HOUSING NEEDS,PRIVATE CONTRACTORS PAYMENT - OTHER,480,
25/03/2024,Denhan Property Services Ltd T/as Denhan International,UKRAINIAN REFUGEE PROGRAMME,HOUSING NEEDS,PRIVATE CONTRACTORS PAYMENT - OTHER,560,
25/03/2024,Denhan Property Services Ltd T/as Denhan International,UKRAINIAN REFUGEE PROGRAMME,HOUSING NEEDS,PRIVATE CONTRACTORS PAYMENT - OTHER,490,
25/03/2024,Denhan Property Services Ltd T/as Denhan International,UKRAINIAN REFUGEE PROGRAMME,HOUSING NEEDS,PRIVATE CONTRACTORS PAYMENT - OTHER,490,
25/03/2024,Denhan Property Services Ltd T/as Denhan International,UKRAINIAN REFUGEE PROGRAMME,HOUSING NEEDS,PRIVATE CONTRACTORS PAYMENT - OTHER,1050,
25/03/2024,Denhan Property Services Ltd T/as Denhan International,UKRAINIAN REFUGEE PROGRAMME,HOUSING NEEDS,PRIVATE CONTRACTORS PAYMENT - OTHER,2030,
25/03/2024,Denhan Property Services Ltd T/as Denhan International,UKRAINIAN REFUGEE PROGRAMME,HOUSING NEEDS,PRIVATE CONTRACTORS PAYMENT - OTHER,490,
25/03/2024,Denhan Property Services Ltd T/as Denhan International,UKRAINIAN REFUGEE PROGRAMME,HOUSING NEEDS,PRIVATE CONTRACTORS PAYMENT - OTHER,1050,
25/03/2024,Denhan Property Services Ltd T/as Denhan International,UKRAINIAN REFUGEE PROGRAMME,HOUSING NEEDS,PRIVATE CONTRACTORS PAYMENT - OTHER,490,
