,,,,,,,,,,
Organisation name,Organisation Code,Directorate,Service Category label,Service Category code,Supplier name,Payment date,Transaction number,Net Amount,Purpose of spend,Procurement category name
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1105,CONCEPT CARE SOLUTIONS LTD T/A DOLPHIN CARE,03/12/2024,12075997,"5,995.37",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1205,CONCEPT CARE SOLUTIONS LTD T/A DOLPHIN CARE,03/12/2024,12075997,894.18,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1400,CONCEPT CARE SOLUTIONS LTD T/A DOLPHIN CARE,03/12/2024,12075997,602.28,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1266,REDACTED PERSONAL DATA,03/12/2024,12075997,"2,398.16",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1070,CORVELL HEALTH CARE LTD,03/12/2024,12075997,"5,370.16",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1260,CRAEGMOOR FCL NEW DIRECTIONS,03/12/2024,12075997,"6,260.28",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1260,CRAEGMOOR TURKETEL ROAD PRIORY,03/12/2024,12075997,"10,379.40",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1266,REDACTED PERSONAL DATA,03/12/2024,12075997,"4,959.08",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,03/12/2024,12075997,620.72,Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1266,REDACTED PERSONAL DATA,03/12/2024,12075997,"1,851.16",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1294,DIMENSIONS UK LTD,03/12/2024,12075997,"11,069.52",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1391,DIMENSIONS UK LTD,03/12/2024,12075997,"125,274.24",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3152,REDACTED PERSONAL DATA,03/12/2024,12075997,937.50,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1070,E & F ENTERPRISES LTD T/A PALMERSTON CARE HOME,03/12/2024,12075997,"37,729.38",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1079,E & F ENTERPRISES LTD T/A PALMERSTON CARE HOME,03/12/2024,12075997,"3,980.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1083,E & F ENTERPRISES LTD T/A PALMERSTON CARE HOME,03/12/2024,12075997,"3,000.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1192,E & F ENTERPRISES LTD T/A PALMERSTON CARE HOME,03/12/2024,12075997,"7,824.12",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1115,E & F ENTERPRISES LTD T/A PALMERSTON CARE HOME,03/12/2024,12075997,"1,900.00",Contractor - Programmed Works,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1266,REDACTED PERSONAL DATA,03/12/2024,12075997,"1,492.68",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1070,EASTWOOD HALL LTD T/A BROADOAKS RESIDENTIAL HOME,03/12/2024,12075997,"3,400.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1260,ECO WINGS AND NIGHTS LIMITED,03/12/2024,12075997,"3,577.52",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1070,ELDERCROFT CARE HOME LTD,03/12/2024,12075997,"2,723.52",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1671,ELDERCROFT CARE HOME LTD,03/12/2024,12075997,"3,056.04",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1266,REDACTED PERSONAL DATA,03/12/2024,12075997,"2,955.52",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1070,ELGINCARE,03/12/2024,12075997,"19,199.57",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1076,ELGINCARE,03/12/2024,12075997,"1,600.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1079,ELGINCARE,03/12/2024,12075997,"5,447.04",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1083,ELGINCARE,03/12/2024,12075997,"2,865.52",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,03/12/2024,12075997,751.24,Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1260,ESSEX CARE CONSORTIUM LTD,03/12/2024,12075997,"10,498.84",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1391,ESSEX COUNTY COUNCIL,03/12/2024,12075997,614.40,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1294,ESTUARY HOUSING ASSOCIATION LTD,03/12/2024,12075997,"12,145.73",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1386,EXCELLENCE CARE CO. LTD,03/12/2024,12075997,"5,600.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1391,EXCELLENCE CARE LTD,03/12/2024,12075997,"26,538.56",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1065,FERNBROOK CARE HOMES LTD,03/12/2024,12075997,"16,558.60",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1070,FERNBROOK CARE HOMES LTD,03/12/2024,12075997,"6,975.08",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1083,FERNBROOK CARE HOMES LTD,03/12/2024,12075997,"15,908.76",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1610,FERNBROOK CARE HOMES LTD,03/12/2024,12075997,"21,031.92",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1294,FIELD LANE FOUNDATION,03/12/2024,12075997,"25,154.28",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1675,FIELD LANE FOUNDATION,03/12/2024,12075997,"5,173.68",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1070,FITZROY,03/12/2024,12075997,"8,550.68",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1260,FITZROY,03/12/2024,12075997,"18,633.52",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1391,FOREST LODGE REST HOME LTD,03/12/2024,12075997,"2,796.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Strategy & Change,Central Services,8540,FUSION LIFESTYLE,03/12/2024,12075997,"4,541.76",Room Hire,Rents
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Strategy & Change,Central Services,2205,FUSION LIFESTYLE,03/12/2024,12075997,"3,871.19",Room Hire,Rents
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1671,GARY RICHARD HOMES LTD,03/12/2024,12075997,"6,012.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1070,GEMSTONE PROPERTIES LTD,03/12/2024,12075997,"-1,440.99",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1083,GEMSTONE PROPERTIES LTD,03/12/2024,12075997,"4,590.56",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1192,GEMSTONE PROPERTIES LTD,03/12/2024,12075997,"8,836.65",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1386,GEMSTONE PROPERTIES LTD,03/12/2024,12075997,"10,137.56",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1641,GEMSTONE PROPERTIES LTD,03/12/2024,12075997,"10,751.76",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3025,GET THE KIDS OUT,03/12/2024,12075997,"2,430.00",Grants,Grants And Subscriptions
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1070,GRANDVILLE LODGE LIMITED,03/12/2024,12075997,"37,737.77",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1079,GRANDVILLE LODGE LIMITED,03/12/2024,12075997,"3,394.16",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3290,GREAT FUTURE SUPPORT LTD,03/12/2024,12075997,800.00,Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3308,GREAT FUTURE SUPPORT LTD,03/12/2024,12075997,536.00,Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1065,GREAT WHEATLEY LTD,03/12/2024,12075997,"3,089.60",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3307,GRIHA CARE AND SUPPORT LIMITED,03/12/2024,12075997,602.11,Additional Allowances (non employee),Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3290,GRIHA CARE AND SUPPORT LIMITED,03/12/2024,12075997,"1,240.00",Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3307,GRIHA CARE AND SUPPORT LIMITED,03/12/2024,12075997,"4,800.00",Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3308,GRIHA CARE AND SUPPORT LIMITED,03/12/2024,12075997,"1,230.00",Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1070,GUYSFIELD HOUSE LTD,03/12/2024,12075997,"3,400.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1079,HALLMARK CARE HOMES LTD,03/12/2024,12075997,"7,160.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1070,HAVENGORE HOUSE RESIDENTIAL CARE HOME T/A MISTIS LTD,03/12/2024,12075997,"25,443.07",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1079,HAVENGORE HOUSE RESIDENTIAL CARE HOME T/A MISTIS LTD,03/12/2024,12075997,"5,701.22",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1083,HAVENGORE HOUSE RESIDENTIAL CARE HOME T/A MISTIS LTD,03/12/2024,12075997,"3,400.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1192,HAVENGORE HOUSE RESIDENTIAL CARE HOME T/A MISTIS LTD,03/12/2024,12075997,"3,200.00",Private Contractors,Other Agencies
