Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation (MKC only),Service Division Categorisation (MKC only),Expense Type
Milton Keynes City Council,27-Mar-23,51500869257,£925.02,Limesquare Vehicle Rental Ltd,Environment & Property,Head of Service - Env and Waste,Vehicle and Plant hire
Milton Keynes City Council,27-Mar-23,51500883377,£928.27,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500871615,£929.25,City and Guilds of London Institute,Finance & Resources - Services,HR,Staff Training & Development
Milton Keynes City Council,27-Mar-23,51500876270,£938.40,Zaynah Carpets & Furniture Limited,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,27-Mar-23,51500881402,£950.40,Sharpe Pritchard LLP,Environment & Property,Land Development,Construction - External Professional Fees
Milton Keynes City Council,27-Mar-23,51500883533,£963.66,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500869962,£976.50,"G2 Recruitment Solutions, a division of G2v Recruitment Group",Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,27-Mar-23,51500868688,£978.67,Monthind Clean LLP,Environment & Property,Property,Building Cleaning
Milton Keynes City Council,27-Mar-23,51500875310,£992.72,Easylink UK,Adult Services,Community Alarm & Sheltered Housing,Equipment and Tools
Milton Keynes City Council,27-Mar-23,51500867253,"£1,014.00",Churchill Contract Services Limited,Children's Services,Children's Social Work,Building Cleaning
Milton Keynes City Council,27-Mar-23,51500869236,"£1,018.80",Normans (Burton upon Trent) Ltd,Children's Services,Education Improvement and Effectiveness Service,Educational equipment
Milton Keynes City Council,27-Mar-23,51500871237,"£1,044.00",Serco Limited,Environment & Property,Head of Service - Env and Waste,Equipment and Tools
Milton Keynes City Council,27-Mar-23,51500875326,"£1,050.00",The Creative OT,Children's Services,Corporate Parenting,Professional Fees and Hired Services
Milton Keynes City Council,27-Mar-23,51500869924,"£1,074.00",PMG Landscapes,Environment & Property,Property,Building Repair and Maintenance
Milton Keynes City Council,27-Mar-23,51500883508,"£1,092.15",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500868973,"£1,104.29",The Yaboo Company Limited T/a Wesley Music,Customer and Community Services,Head of Service - Regulatory,Specialist Supplies and Materials
Milton Keynes City Council,27-Mar-23,51500869963,"£1,110.00","G2 Recruitment Solutions, a division of G2v Recruitment Group",Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,27-Mar-23,51500883129,"£1,133.82",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500877349,"£1,140.00",Hampshire County Council EMTAS,Children's Services,Leadership & Governance,Staff Training & Development
Milton Keynes City Council,27-Mar-23,51500869094,"£1,140.00",Hampshire County Council EMTAS,Children's Services,Leadership & Governance,Staff Training & Development
Milton Keynes City Council,27-Mar-23,51500869232,"£1,140.00",Currie & Brown UK Ltd,Housing & Regeneration - HRA,Regeneration HRA,Demolition
Milton Keynes City Council,27-Mar-23,51500880755,"£1,141.42",Caring Hearts Fostering,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,27-Mar-23,51500869148,"£1,154.40",The Oyster Partnership Ltd,Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,27-Mar-23,51500883346,"£1,181.44",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500869111,"£1,200.00",Kirkby Diamond LLP,Environment & Property,Property,Professional Fees and Hired Services
Milton Keynes City Council,27-Mar-23,51500871253,"£1,200.58",Euclid Limited,Environment & Property,Director Environment and Property,Printing
Milton Keynes City Council,27-Mar-23,51500867111,"£1,220.00",Reconstruct (Children and Adult Services) LTD,Finance & Resources - Services,HR,Staff Training & Development
Milton Keynes City Council,27-Mar-23,51500871311,"£1,221.00",Carrington West Ltd,Environment & Property,Head of Service - Highways,Professional Fees and Hired Services
Milton Keynes City Council,27-Mar-23,51500883390,"£1,222.04",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500877387,"£1,233.74",PSL Print Management LTD,Finance & Resources - Services,Lead Authority Shared Services,Printing
Milton Keynes City Council,27-Mar-23,51500876534,"£1,260.00",All People Active,Children's Services,Children's Centres Services,Care & Ed Childcare Settings
Milton Keynes City Council,27-Mar-23,51500869346,"£1,299.25",Allied Publicity Services (Manchester) Limited Trading as APS Group,Finance & Resources - Services,Revenues and Benefits Service,Printing
Milton Keynes City Council,27-Mar-23,51500869397,"£1,320.00",Currie & Brown UK Ltd,Housing & Regeneration - HRA,Regeneration HRA,Demolition
Milton Keynes City Council,27-Mar-23,51500869146,"£1,332.00",The Oyster Partnership Ltd,Customer and Community Services,Community Safety,Recruitment Costs
Milton Keynes City Council,27-Mar-23,51500883387,"£1,345.59",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883658,"£1,386.00",Knowles Nursery School,Children's Services,Early Years Block,Grants
Milton Keynes City Council,27-Mar-23,51500876402,"£1,406.59",Prepaid Financial Services,Adult Services,Physical Disability,Homecare
Milton Keynes City Council,27-Mar-23,51500871227,"£1,440.00",Oxbridge Limited,Children's Services,High Needs Block,Professional Fees and Hired Services
Milton Keynes City Council,27-Mar-23,51500871306,"£1,440.60",Matchtech,Environment & Property,Head of Service - Highways,Professional Fees and Hired Services
Milton Keynes City Council,27-Mar-23,51500869144,"£1,447.20",The Oyster Partnership Ltd,Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,27-Mar-23,51500869147,"£1,465.20",The Oyster Partnership Ltd,Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,27-Mar-23,51500871327,"£1,467.36",CCS Media Limited,Finance & Resources - Services,ICT,Computer hardware - purchase
Milton Keynes City Council,27-Mar-23,51500871231,"£1,470.00",Petite Ponies,Children's Services,High Needs Block,Independent School Placements
Milton Keynes City Council,27-Mar-23,51500878331,"£1,475.00",Land Investment Property Services Limited,Customer and Community Services,Policy & Performance,Rents and Leases
Milton Keynes City Council,27-Mar-23,51500871217,"£1,509.60","G2 Recruitment Solutions, a division of G2v Recruitment Group",Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,27-Mar-23,51500871300,"£1,512.00",Matchtech,Environment & Property,Head of Service - Highways,Professional Fees and Hired Services
Milton Keynes City Council,27-Mar-23,51500883378,"£1,525.00",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500871206,"£1,530.00","G2 Recruitment Solutions, a division of G2v Recruitment Group",Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,27-Mar-23,51500871410,"£1,530.00",Toxicology UK Ltd,Customer and Community Services,Head of Service - Regulatory,Testing
Milton Keynes City Council,27-Mar-23,51500869241,"£1,560.00",Currie & Brown UK Ltd,Children and Families,"Education, Effectiveness & Participation",Construction - External Professional Fees
Milton Keynes City Council,27-Mar-23,51500869920,"£1,574.40",Lepus Consulting Ltd,Planning and Placemaking,Planning,Consultancy
Milton Keynes City Council,27-Mar-23,51500877827,"£1,580.40",Geldards LLP,Environment & Property,Property,External Legal Fees
Milton Keynes City Council,27-Mar-23,51500869143,"£1,598.40",The Oyster Partnership Ltd,Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,27-Mar-23,51500882243,"£1,620.00",Redacted Personal Data,Law & Governance,Legal,External Legal Fees
Milton Keynes City Council,27-Mar-23,51500883012,"£1,624.04",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883119,"£1,624.04",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500871211,"£1,625.28","G2 Recruitment Solutions, a division of G2v Recruitment Group",Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,27-Mar-23,51500871258,"£1,650.00",WFLCT,Customer and Community Services,Leisure & Community,Professional Fees and Hired Services
Milton Keynes City Council,27-Mar-23,51500869088,"£1,668.00",Navisite Europe Limited,Finance & Resources - Services,ICT,Computer software - annual licence agreement
Milton Keynes City Council,27-Mar-23,51500883489,"£1,692.24",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883454,"£1,692.24",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883447,"£1,692.24",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883468,"£1,692.24",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883440,"£1,692.24",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883496,"£1,692.24",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883482,"£1,692.24",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883475,"£1,692.24",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883461,"£1,692.24",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500871883,"£1,705.68",Egis Projects UK Ltd,Environment & Property,Head of Service - Highways,Professional Fees and Hired Services
Milton Keynes City Council,27-Mar-23,51500868429,"£1,723.40",Nexus Fostering Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,27-Mar-23,51500871870,"£1,761.58",Egis Projects UK,Environment & Property,Head of Service - Highways,Professional Fees and Hired Services
Milton Keynes City Council,27-Mar-23,51500874561,"£1,762.66",Build Recruitment,Env & Prop (HRA),HRA Asset Management and Investment,Agency Staff
Milton Keynes City Council,27-Mar-23,51500878330,"£1,780.00",Redacted Personal Data,Customer and Community Services,Policy & Performance,Rents and Leases
Milton Keynes City Council,27-Mar-23,51500878332,"£1,795.00",Land Investment Property Services Limited,Customer and Community Services,Policy & Performance,Rents and Leases
Milton Keynes City Council,27-Mar-23,51500883515,"£1,798.84",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883522,"£1,798.84",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500869429,"£1,800.00",The Yaboo Company Limited T/a Wesley Music,Customer and Community Services,Head of Service - Regulatory,Specialist Supplies and Materials
Milton Keynes City Council,27-Mar-23,51500869969,"£1,813.75",Carrington West Ltd,Environment & Property,Head of Service - Highways,Agency Staff
Milton Keynes City Council,27-Mar-23,51500871250,"£1,837.50",Petite Ponies,Children's Services,High Needs Block,Independent School Placements
Milton Keynes City Council,27-Mar-23,51500883585,"£1,885.00",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883599,"£1,885.00",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883543,"£1,885.00",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883550,"£1,885.00",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883620,"£1,885.00",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883571,"£1,885.00",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883557,"£1,885.00",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883613,"£1,885.00",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883564,"£1,885.00",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883578,"£1,885.00",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883592,"£1,885.00",Fremantle Trust,Adult Services,Learning Disability,Living support grants
