Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Narrative,Postal Code,Amount in Sterling,Grant?,DG Group,Director
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,CORNWALL UNITARY AUTHORITY,3700289421,Grant payable by the Exchequer,TR1 3AY,"£150,901.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,CORNWALL UNITARY AUTHORITY,3700289563,Grant payable by the Exchequer,TR1 3AY,"£844,524.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,COVENTRY CITY CNCL,3700289494,Grant payable by the Exchequer,CV1 2QL,"£1,247,434.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,CROYDON LB,3700289454,Grant payable by the Exchequer,CR0 1EA,"£1,487,985.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,CROYDON LB,3700289456,Grant payable by the Exchequer,CR0 1EA,"£717,143.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,Cumberland Council,3700289401,Grant payable by the Exchequer,CA1 1RD,"£2,970,509.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,DERBY CITY CNCL,3700289433,Grant payable by the Exchequer,DE1 2FS,"£718,431.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,DORSET COUNCIL,3700289461,Grant payable by the Exchequer,DT1 1XJ,"£636,615.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,DUDLEY MBC,3700289517,Grant payable by the Exchequer,DY1 1HF,"£34,663.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,EALING LB,3700289427,Grant payable by the Exchequer,W5 2HL,"£459,774.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,EALING LB,3700289547,Grant payable by the Exchequer,W5 2HL,"£509,191.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,EAST LONDON WASTE AUTHORITY,3700289504,Grant payable by the Exchequer,IG1 1NN,"£997,813.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,EAST SUSSEX COUNTY CNCL,3700289455,Grant payable by the Exchequer,BN7 1SF,"£749,106.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,ENFIELD LB,3700289474,Grant payable by the Exchequer,EN1 3XF,"£477,469.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,ESSEX COUNTY CNCL,3700289542,Grant payable by the Exchequer,CM1 1JZ,"£1,905,476.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,GATESHEAD MBC,3700289462,Grant payable by the Exchequer,NE8 1HH,"£1,353,459.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,GLOUCESTERSHIRE COUNTY CNCL,3700289548,Grant payable by the Exchequer,GL1 2TG,"£771,410.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,GLOUCESTERSHIRE COUNTY CNCL,3700289567,Grant payable by the Exchequer,GL1 2TG,"£447,355.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,GREATER LONDON AUTHORITY (RSG),3700289506,Grant payable by the Exchequer,SE10 1AJ,"£932,930.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,GREATER MANCHESTER COMBINED AUT,3700289393,Grant payable by the Exchequer,M27 8US,"£1,328,728.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,GREATER MANCHESTER COMBINED AUT,3700289475,Grant payable by the Exchequer,M27 8US,"£122,541.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,GREENWICH LB,3700289562,Grant payable by the Exchequer,SE18 6HQ,"£522,777.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,HAMMERSMITH & FULHAM LB,3700289426,Grant payable by the Exchequer,W6 9JU,"£273,398.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,HAMMERSMITH & FULHAM LB,3700289519,Grant payable by the Exchequer,W6 9JU,"£83,800.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,HAMPSHIRE COUNTY COUNCIL,3700289459,Grant payable by the Exchequer,SO23 8UB,"£2,343,280.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,HARROW LB,3700289403,Grant payable by the Exchequer,SL1 0ZS,"£241,412.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,HERTFORDSHIRE COUNTY CNCL,3700289445,Grant payable by the Exchequer,SG13 8DQ,"£467,682.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,HOUNSLOW LB,3700289412,Grant payable by the Exchequer,TW3 3EB,"£3,290,899.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,HULL CITY CNCL,3700289476,Grant payable by the Exchequer,HU1 3DT,"£193,201.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,HULL CITY CNCL,3700289490,Grant payable by the Exchequer,HU1 3DT,"£1,414,401.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,ISLE OF WIGHT CNCL,3700289502,Grant payable by the Exchequer,PO30 1UD,"£4,857,039.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,ISLINGTON LB,3700289391,Grant payable by the Exchequer,N1 1XR,"£256,220.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,KENT COUNTY CNCL,3700289538,Grant payable by the Exchequer,ME14 1RF,"£480,542.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,KNOWSLEY MBC,3700289533,Grant payable by the Exchequer,L36 9YZ,"£585,060.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,LAMBETH LB,3700289429,Grant payable by the Exchequer,SW2 1RL,"£346,914.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,LAMBETH LB,3700289460,Grant payable by the Exchequer,SW2 1RL,"£84,896.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,LAMBETH LB,3700289479,Grant payable by the Exchequer,SW2 1RL,"£264,662.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,LANCASHIRE COMBINED FIRE AUTHORITY,3700289539,Grant payable by the Exchequer,PR2 3LH,"£120,593.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,LEEDS CITY CNCL,3700289400,Grant payable by the Exchequer,LS1 1JF,"£1,905,847.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,LEEDS CITY CNCL,3700289444,Grant payable by the Exchequer,LS1 1JF,"£1,317,207.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,LEEDS CITY CNCL,3700289491,Grant payable by the Exchequer,LS1 1JF,"£502,553.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,LEEDS CITY CNCL,3700289537,Grant payable by the Exchequer,LS1 1JF,"£580,275.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,LEEDS CITY CNCL,3700289557,Grant payable by the Exchequer,LS1 1JF,"£234,065.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,LEICESTER CITY CNCL,3700289409,Grant payable by the Exchequer,LE1 1FZ,"£647,782.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,LEICESTER CITY CNCL,3700289437,Grant payable by the Exchequer,LE1 1FZ,"£40,972.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,LEWISHAM LB,3700289544,Grant payable by the Exchequer,SE6 4RU,"£230,926.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,LIVERPOOL CITY COUNCIL,3700289556,Grant payable by the Exchequer,L2 2DH,"£1,064,778.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,LONDON BOROUGH OF HACKNEY,3700289477,Grant payable by the Exchequer,E8 4RU,"£346,853.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,MANCHESTER CITY CNCL,3700289559,Grant payable by the Exchequer,M60 2JR,"£729,349.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,MERSEYSIDE FIRE & RESCUE SERVICE,3700289480,Grant payable by the Exchequer,L30 4YD,"£1,250,600.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,NEWCASTLE UPON TYNE DC,3700289473,Grant payable by the Exchequer,NE99 2BN,"£522,435.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,NEWCASTLE UPON TYNE DC,3700289500,Grant payable by the Exchequer,NE99 2BN,"£802,037.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,NEWCASTLE UPON TYNE DC,3700289564,Grant payable by the Exchequer,NE99 2BN,"£283,335.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,NORFOLK COUNTY COUNCIL,3700289503,Grant payable by the Exchequer,NR1 2DW,"£766,481.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,NORTH TYNESIDE MBC,3700289411,Grant payable by the Exchequer,NE27 0BY,"£186,837.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,NORTH TYNESIDE MBC,3700289487,Grant payable by the Exchequer,NE27 0BY,"£136,239.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,NORTH TYNESIDE MBC,3700289505,Grant payable by the Exchequer,NE27 0BY,"£425,148.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,NORTHUMBERLAND COUNTY COUNCIL,3700289396,Grant payable by the Exchequer,NE61 2EF,"£825,722.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,NORTHUMBERLAND COUNTY COUNCIL,3700289436,Grant payable by the Exchequer,NE61 2EF,"£785,263.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,NOTTINGHAM CITY COUNCIL,3700289386,Grant payable by the Exchequer,NG2 3NG,"£865,251.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,NOTTINGHAM CITY COUNCIL,3700289418,Grant payable by the Exchequer,NG2 3NG,"£278,924.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,NOTTINGHAM CITY COUNCIL,3700289511,Grant payable by the Exchequer,NG2 3NG,"£8,850,000.00",Yes,Local Government & Public Services,Nico Heslop
