,Transparency Report November 2023,,,,,,,
Stoke City Council,4HDG,"Housing, Development & Growth",DE100,Services,45254,SOT1010943,Saltbox Christian Trust Reg Charity,640
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45239,SOT1003235,Samuel Hobson House Limited,1338.58
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45253,SOT1011146,Samuel Hobson House Limited,1338.58
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45239,SOT1003235,Samuel Hobson House Limited,2857.6
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45253,SOT1011146,Samuel Hobson House Limited,2857.6
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWBC,Works,45231,SOT1001027,Sandycroft Construction Limited,14640.45
Stoke City Council,4HLCITY,Holding Acc City Renewal ,DA100,Equipment  furniture and mater,45254,SOT1011316,Santa for Hire co uk,1029
Stoke City Council,4STARC,Strategy & Resources Capital,QXPSP,Intangible Assets,45252,SOT1002732,SAP UK Limited,278311.64
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,DI107,Private Finance Initiative&PPP,45247,SOT1008287,Sapphire Extra Care Ltd,462275.64
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45231,SOT1000273,SAPPHIRE QUALITY CARE AGENCY LTD,20355.75
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45259,SOT1012173,SAPPHIRE QUALITY CARE AGENCY LTD,16845.95
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45231,SOT1000273,SAPPHIRE QUALITY CARE AGENCY LTD,1373.4
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45259,SOT1012173,SAPPHIRE QUALITY CARE AGENCY LTD,1373.4
Stoke City Council,4HRAHT,Housing Transformation,DK107,Miscellaneous expenses,45240,SOT1003299,Satchell Moran Solicitors,8500
Stoke City Council,4HRAHT,Housing Transformation,DK107,Miscellaneous expenses,45247,SOT1008367,Satchell Moran Solicitors,1500
Stoke City Council,4STAR,Strategy & Resources,de158,Services,45254,SOT1011561,Satsuma Medical Limited,840.3
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45239,SOT1003095,Scotia Health Care,33384.74
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45253,SOT1010999,Scotia Health Care,33384.74
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45253,SOT1010999,Scotia Health Care,2607.9500000000025
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45239,SOT1003095,Scotia Health Care,20619.480000000003
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45253,SOT1010999,Scotia Health Care,20619.480000000003
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG210,Other establishments,45239,SOT1003095,Scotia Health Care,7577.4
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG210,Other establishments,45253,SOT1010999,Scotia Health Care,7577.4
Stoke City Council,4CAF,Children and Family Services,EG171,Other establishments,45257,SOT1010111,Scottish Adoption Limited,941
Stoke City Council,4CAF,Children and Family Services,cc109,Contract hire&operating leases,45245,SOT1007571,Scraggs Coaches & Taxis,10566
Stoke City Council,4CAF,Children and Family Services,cc109,Contract hire&operating leases,45259,SOT1012215,Scraggs Coaches & Taxis,11835
Stoke City Council,4HDG,"Housing, Development & Growth",DA139,Equipment  furniture and mater,45259,SOT1008437,Scraggs Coaches & Taxis,3366
Stoke City Council,4SCHL,Schools,DK193,Miscellaneous expenses,45238,SOT0999757,Scraggs Coaches & Taxis,560
Stoke City Council,4CITD,City Director,DG100,Expenses,45252,SOT1001444,Sec Watchdog Ltd T/A Security Watchdog,2233.74
Stoke City Council,4STAR,Strategy & Resources,df126,Communications and computing,45231,SOT1000091,Secon Cyber Security Ltd,10075
Stoke City Council,#N/A,General Fund,YA101,Current Assets,45233,SOT1001927,Security Plus,28801
Stoke City Council,4HDG,"Housing, Development & Growth",DA105,Equipment  furniture and mater,45252,SOT1005550,Security Services,695
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXPPP,Plant Machinery and Equipment,45252,SOT1005551,Security Services,26768
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,DK134,Miscellaneous expenses,45238,SOT1002789,Security Services,750
Stoke City Council,4CAFSC,Children & Family services CAP,QXWBE,External Fees,45257,SOT1011818,Seddon Construction Ltd,35113.23
Stoke City Council,4CAFSC,Children & Family services CAP,QXWBE,External Fees,45257,SOT1011819,Seddon Construction Ltd,17801.97
Stoke City Council,4HRADRC,Housing Development and Regen Capital,QXWBC,Works,45233,SOT1001807,Seddon Construction Ltd,257537.09
Stoke City Council,4HRADRC,Housing Development and Regen Capital,QXABE,Land and Buildings,45247,SOT1008545,Seddon RDP Limited,273825.68
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG115,Other establishments,45236,SOT1002109,Selborne Care Ltd,4595.72
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45239,SOT1003224,Selborne Care Ltd,4532
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45253,SOT1011135,Selborne Care Ltd,4532
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45239,SOT1003084,Sense,4633.66
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45253,SOT1010989,Sense,4633.66
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45250,SOT1004487,Serjeants Inn Chambers ,525
Stoke City Council,4HLMISC,Holding Acc Miscellaneous,WM105,Memo and Holding Accounts,45238,SOT1002348,SG Equipment Finance Ltd,4644.13
Stoke City Council,4HLMISC,Holding Acc Miscellaneous,WM105,Memo and Holding Accounts,45238,SOT1002379,SG Equipment Finance Ltd,1500
Stoke City Council,4HLMISC,Holding Acc Miscellaneous,WM105,Memo and Holding Accounts,45238,SOT1002380,SG Equipment Finance Ltd,3314
Stoke City Council,4SCHL,Schools,DD100,Printing  stationery and gener,45252,SOT1007961,Sharp Business Systems UK Plc,857.18
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWBE,External Fees,45233,SOT0999500,Sharpe Pritchard,4264.32
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWBE,External Fees,45233,SOT1001778,Sharpe Pritchard,7763.84
Stoke City Council,4HDG,"Housing, Development & Growth",CC104,Contract hire&operating leases,45240,SOT1003478,Sharrocks ,750
Stoke City Council,4HDG,"Housing, Development & Growth",CC104,Contract hire&operating leases,45245,SOT1007601,Sharrocks ,1274.99
Stoke City Council,4HDG,"Housing, Development & Growth",CC104,Contract hire&operating leases,45245,SOT1007603,Sharrocks ,1274.99
Stoke City Council,4HDG,"Housing, Development & Growth",DA101,Equipment  furniture and mater,45250,SOT1008833,Sharrocks ,1343.77
Stoke City Council,4HDG,"Housing, Development & Growth",DA102,Equipment  furniture and mater,45250,SOT1008870,Sharrocks ,763.4
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45238,SOT1002762,Shaw Educational Trust,28826.48
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45238,SOT1002764,Shaw Educational Trust,1083.05
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45240,SOT1003001,Shaw Educational Trust,118440.95
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45240,SOT1003002,Shaw Educational Trust,200074.7
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45239,SOT1003174,Shelton Care Ltd (Residential Payments Only),3847.58
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45253,SOT1011081,Shelton Care Ltd (Residential Payments Only),3847.58
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45239,SOT1003174,Shelton Care Ltd (Residential Payments Only),13996.48
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45239,SOT1003175,Shelton Care Ltd (Residential Payments Only),35532.22
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45239,SOT1003176,Shelton Care Ltd (Residential Payments Only),41961.61
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45239,SOT1003177,Shelton Care Ltd (Residential Payments Only),25273.84
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45253,SOT1011081,Shelton Care Ltd (Residential Payments Only),13996.48
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45253,SOT1011082,Shelton Care Ltd (Residential Payments Only),34916.22
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45253,SOT1011083,Shelton Care Ltd (Residential Payments Only),36688.12
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45253,SOT1011084,Shelton Care Ltd (Residential Payments Only),25273.84
Stoke City Council,4CAF,Children and Family Services,de113,Services,45252,SOT1008277,Shelton Care Ltd T/A Richmond Care Group,77993.58
Stoke City Council,4CAF,Children and Family Services,de113,Services,45252,SOT1010817,Shelton Care Ltd T/A Richmond Care Group,70194.22
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG173,Other establishments,45243,SOT0984416,Shelton Care Ltd T/A Richmond Care Group,2024.8
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG173,Other establishments,45243,SOT0990293,Shelton Care Ltd T/A Richmond Care Group,801.76
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG173,Other establishments,45243,SOT1002351,Shelton Care Ltd T/A Richmond Care Group,665.36
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG173,Other establishments,45243,SOT1003862,Shelton Care Ltd T/A Richmond Care Group,4778.28
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG173,Other establishments,45243,SOT1003863,Shelton Care Ltd T/A Richmond Care Group,2127.44
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG173,Other establishments,45245,SOT1004645,Shelton Care Ltd T/A Richmond Care Group,2024.8
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG173,Other establishments,45245,SOT1004646,Shelton Care Ltd T/A Richmond Care Group,801.76
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG173,Other establishments,45245,SOT1004647,Shelton Care Ltd T/A Richmond Care Group,665.36
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG173,Other establishments,45245,SOT1004648,Shelton Care Ltd T/A Richmond Care Group,4778.28
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG173,Other establishments,45245,SOT1004649,Shelton Care Ltd T/A Richmond Care Group,2127.44
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG173,Other establishments,45247,SOT1007996,Shelton Care Ltd T/A Richmond Care Group,2024.8
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG173,Other establishments,45247,SOT1008182,Shelton Care Ltd T/A Richmond Care Group,2127.44
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG173,Other establishments,45247,SOT1008183,Shelton Care Ltd T/A Richmond Care Group,4778.28
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG173,Other establishments,45247,SOT1008190,Shelton Care Ltd T/A Richmond Care Group,665.36
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG173,Other establishments,45247,SOT1008202,Shelton Care Ltd T/A Richmond Care Group,801.76
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXABE,Land and Buildings,45240,SOT1003275,Sherwin Rivers Ltd,2055
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXABE,Land and Buildings,45240,SOT1003276,Sherwin Rivers Ltd,1678.95
Stoke City Council,4CAF,Children and Family Services,de113,Services,45231,SOT1000265,SHINY STARS DAY NURSERY TRENTHAM,842.1
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45231,SOT0992610,Shonette Bason Ltd,2853
Stoke City Council,4CAF,Children and Family Services,de113,Services,45252,SOT1007807,Side by Side Nursery,2000
Stoke City Council,4CAF,Children and Family Services,de113,Services,45252,SOT1009399,Side by Side Nursery,1333.33
Stoke City Council,4HDG,"Housing, Development & Growth",DA151,Equipment  furniture and mater,45231,SOT0992770,Siemens Financial Services,11046.72
Stoke City Council,4HDG,"Housing, Development & Growth",DA151,Equipment  furniture and mater,45233,SOT0997223,Siemens Financial Services,11999.25
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWBM,Works,45233,SOT1001788,Siemens PLC,80875.83
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45239,SOT1003102,Silverdale Care Home Ltd,4413.3
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45253,SOT1011006,Silverdale Care Home Ltd,4413.3
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45239,SOT1003102,Silverdale Care Home Ltd,12607.42
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45253,SOT1011006,Silverdale Care Home Ltd,12607.42
Stoke City Council,4SCHL,Schools,BI100,Grounds maintenance costs,45257,000011215281661,SJS BUILDING SUPPLIES,694.56
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWRC,Works,45245,SOT1007714,SMA Plumbing and Heating,1840
Stoke City Council,4STAR,Strategy & Resources,BE100,Water services,45233,SOT1001271,Smarta Water,3452.27
Stoke City Council,4STAR,Strategy & Resources,BE100,Water services,45254,SOT1011238,Smarta Water,686.4
Stoke City Council,4STAR,Strategy & Resources,bb102,Energy costs,45247,SOT1008509,smartestenergy Ltd,43053.57
Stoke City Council,4STAR,Strategy & Resources,bb102,Energy costs,45247,SOT1008532,smartestenergy Ltd,213005.62
Stoke City Council,4SCHL,Schools,dh102,Grants and subscriptions,45238,SOT1001643,Smoothwall Ltd,650
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWBC,Works,45247,SOT1008282,Sneyd Building Contractors                        ,28446.57
Stoke City Council,4STAR,Strategy & Resources,de113,Services,45240,SOT1003539,REDACTED - Personal Data,628.08
Stoke City Council,4STAR,Strategy & Resources,de113,Services,45252,SOT1007979,REDACTED - Personal Data,672.39
Stoke City Council,4CAF,Children and Family Services,DK126,Miscellaneous expenses,45252,SOT1009459,Solihull M.B.C.,15000
Stoke City Council,4CAF,Children and Family Services,DK126,Miscellaneous expenses,45252,SOT1009460,Solihull M.B.C.,15650
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG115,Other establishments,45236,SOT1002126,Solutions in Service Ltd,11463.36
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG104,Other establishments,45239,SOT1003126,Sonic Gold Ltd,1446.66
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG104,Other establishments,45253,SOT1011032,Sonic Gold Ltd,1446.66
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45239,SOT1003126,Sonic Gold Ltd,20284.260000000002
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45253,SOT1011032,Sonic Gold Ltd,20284.260000000002
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45239,SOT1003126,Sonic Gold Ltd,16471.98
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45253,SOT1011032,Sonic Gold Ltd,16471.98
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45239,SOT1003126,Sonic Gold Ltd,14380.380000000001
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45253,SOT1011032,Sonic Gold Ltd,14380.380000000001
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG210,Other establishments,45239,SOT1003126,Sonic Gold Ltd,2000
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG210,Other establishments,45253,SOT1011032,Sonic Gold Ltd,2000
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45239,SOT1003126,Sonic Gold Ltd,-629.3
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45253,SOT1011032,Sonic Gold Ltd,-629.3
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45239,SOT1003126,Sonic Gold Ltd,-582.76
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45253,SOT1011032,Sonic Gold Ltd,-582.76
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45239,SOT1003246,Sonic Platinum Ltd,1768
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45253,SOT1011157,Sonic Platinum Ltd,1768
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45239,SOT1003246,Sonic Platinum Ltd,1976
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45253,SOT1011157,Sonic Platinum Ltd,1976
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45239,SOT1003246,Sonic Platinum Ltd,-533.74
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45253,SOT1011157,Sonic Platinum Ltd,-533.74
Stoke City Council,4HDG,"Housing, Development & Growth",EG100,Other establishments,45236,SOT1002072,S-O-T & District Gingerbread                     <,8552.15
Stoke City Council,4HDG,"Housing, Development & Growth",EG100,Other establishments,45236,SOT1002073,S-O-T & District Gingerbread                     <,7929.65
Stoke City Council,4CAF,Children and Family Services,cc109,Contract hire&operating leases,45247,SOT1007989,SoT Private Hire,3132
Stoke City Council,4CAF,Children and Family Services,cc109,Contract hire&operating leases,45247,SOT1008284,SoT Private Hire,3480
Stoke City Council,4STAR,Strategy & Resources,DA103,Equipment  furniture and mater,45259,SOT1010455,Specialist Computer Centres Ltd,891.16
Stoke City Council,4STAR,Strategy & Resources,DF123,Communications and computing,45250,SOT1005543,Specialist Computer Centres Ltd,522.5
Stoke City Council,4STAR,Strategy & Resources,df126,Communications and computing,45250,SOT1007897,Specialist Computer Centres Ltd,11159.04
Stoke City Council,4STAR,Strategy & Resources,df126,Communications and computing,45259,SOT1010053,Specialist Computer Centres Ltd,11846.01
Stoke City Council,4STAR,Strategy & Resources,df126,Communications and computing,45259,SOT1010054,Specialist Computer Centres Ltd,11854.8
Stoke City Council,4STAR,Strategy & Resources,df126,Communications and computing,45259,SOT1010454,Specialist Computer Centres Ltd,12208.68
Stoke City Council,4STARC,Strategy & Resources Capital,QXPSP,Intangible Assets,45243,SOT1001389,Specialist Computer Centres Ltd,137562.56
Stoke City Council,4HDG,"Housing, Development & Growth",DA103,Equipment  furniture and mater,45243,SOT1003955,Speck ABC UK Limited,519.71
Stoke City Council,4PUBH,Public Health,BA100,Repairs alterations mtce of bu,45254,SOT1011593,SPI Global Play Uk & Ireland,605.2
Stoke City Council,4STAR,Strategy & Resources,DF123,Communications and computing,45231,SOT1000131,Spook Ltd,2350
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45239,SOT1003133,Springbank Nursing Home,5656.54
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45253,SOT1011039,Springbank Nursing Home,5656.54
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45239,SOT1003133,Springbank Nursing Home,1800
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45253,SOT1011039,Springbank Nursing Home,1800
Stoke City Council,4HDG,"Housing, Development & Growth",de135,Services,45233,SOT1001510,Springett Surfacing ,3840
Stoke City Council,4HDG,"Housing, Development & Growth",de135,Services,45245,SOT1007632,Springett Surfacing ,13200
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45231,SOT1000275,SQ Carers Ltd,1220.8
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45238,SOT1001907,SQ Carers Ltd,1220.8
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45245,SOT1004865,St Bart`s Multi Academy Trust,858.92
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45244,SOT1003939,St Benedicts Care Solutions,30335.72
Stoke City Council,4CAF,Children and Family Services,GI160,Inter departmental ,45231,SOT0999980,St Ives Barristers Ltd,750
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45233,SOT1001317,St Ives Barristers Ltd,900
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45233,SOT1001319,St Ives Barristers Ltd,2100
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45233,SOT1001320,St Ives Barristers Ltd,1500
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45233,SOT1001324,St Ives Barristers Ltd,750
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45233,SOT1001332,St Ives Barristers Ltd,550
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45233,SOT1001333,St Ives Barristers Ltd,1050
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45233,SOT1001334,St Ives Barristers Ltd,8000
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45233,SOT1001335,St Ives Barristers Ltd,1400
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45233,SOT1001336,St Ives Barristers Ltd,550
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45233,SOT1001337,St Ives Barristers Ltd,9875
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45233,SOT1001339,St Ives Barristers Ltd,875
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45233,SOT1001340,St Ives Barristers Ltd,625
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45233,SOT1001343,St Ives Barristers Ltd,750
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45233,SOT1001344,St Ives Barristers Ltd,1310
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45233,SOT1001345,St Ives Barristers Ltd,750
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45233,SOT1001346,St Ives Barristers Ltd,4625
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45233,SOT1001347,St Ives Barristers Ltd,675
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45238,SOT1001348,St Ives Barristers Ltd,750
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45243,SOT1001342,St Ives Barristers Ltd,675
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45245,SOT1001338,St Ives Barristers Ltd,750
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45245,SOT1004489,St Ives Barristers Ltd,785
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45245,SOT1004492,St Ives Barristers Ltd,1375
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45245,SOT1004495,St Ives Barristers Ltd,1400
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45245,SOT1004496,St Ives Barristers Ltd,650
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45245,SOT1004499,St Ives Barristers Ltd,750
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45252,SOT1004493,St Ives Barristers Ltd,4750
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45252,SOT1004497,St Ives Barristers Ltd,1800
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45254,SOT1004500,St Ives Barristers Ltd,675
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45254,SOT1004501,St Ives Barristers Ltd,675
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45254,SOT1011203,St Ives Barristers Ltd,1000
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45254,SOT1011205,St Ives Barristers Ltd,2000
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45254,SOT1011206,St Ives Barristers Ltd,750
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45254,SOT1011207,St Ives Barristers Ltd,1400
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45254,SOT1011210,St Ives Barristers Ltd,900
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45254,SOT1011211,St Ives Barristers Ltd,1000
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45254,SOT1011213,St Ives Barristers Ltd,1500
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45254,SOT1011216,St Ives Barristers Ltd,1000
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45254,SOT1011217,St Ives Barristers Ltd,675
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45254,SOT1011343,St Ives Barristers Ltd,1800
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45259,SOT1004490,St Ives Barristers Ltd,2100
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45259,SOT1004498,St Ives Barristers Ltd,750
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45259,SOT1012159,St Ives Barristers Ltd,900
Stoke City Council,4HDG,"Housing, Development & Growth",DE100,Services,45238,SOT0999951,St John Ambulance,980
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45240,SOT1002964,St Johns Chambers,2000
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45239,SOT1003249,St Joseph’s Convent Nursing Home,1877.62
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45253,SOT1011160,St Joseph’s Convent Nursing Home,1877.62
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45233,SOT1001768,St Margaret Ward Catholic Academy,15000
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45239,SOT1003233,St Petroc`s House,1919.16
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45253,SOT1011144,St Petroc`s House,1919.16
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45254,SOT1011346,St Philips Chambers,850
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45239,SOT1003111,St Quentin Residential Homes Ltd,5360.5
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45253,SOT1011016,St Quentin Residential Homes Ltd,5360.5
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45239,SOT1003111,St Quentin Residential Homes Ltd,8467.58
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45253,SOT1011016,St Quentin Residential Homes Ltd,8467.58
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45238,SOT0966796,St Teresa of Calcutta Catholic Academy Trust,4417
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45238,SOT0968084,St Teresa of Calcutta Catholic Academy Trust,3786
Stoke City Council,4PUBH,Public Health,DE108,Services,45238,SOT1002833,REDACTED - Personal Data,560
Stoke City Council,4CITD,City Director,DG100,Expenses,45245,SOT1007716,Staffordshire Chamber Of Commerce & Industry Ltd,21787.47
Stoke City Council,4CITD,City Director,DG100,Expenses,45259,SOT1009031,Staffordshire Chamber Of Commerce & Industry Ltd,7787.61
Stoke City Council,4CAF,Children and Family Services,AB614,Employee-related schemes,45246,SOT1008335,Staffordshire County Council,88464.34
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45236,SOT1002082,Staffordshire County Council,1383
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45259,SOT1012129,Staffordshire County Council,1333.33
Stoke City Council,4CAF,Children and Family Services,EG223,Other establishments,45259,SOT1012474,Staffordshire County Council,612.5
