Body Name,Supplier Name,Supplier Code,Transaction Ref/No,Payment Date,Gross Value (Detail),Vat Amount,Service Label,Service code,Expenditure Code,Expenditure Category,Service Division,,Directorate,Directorate Description,Department,Department Description,Sub Team,Sub Team Description
Blackpool Council,Wandle Teaching School Alliance,1004558,91395,03/10/2023,995,0,Boundary Primary - General,10082,63711,Subscriptions,Children's Services,,CHISER,Children's Services,DELEGA,Schools - Delegated,ED071,Boundary Park Community
Blackpool Council,Security Plus Limited,1003277,91398,03/10/2023,558.97,93.16,Treasury Management,60009,66102,Bank Charges,Budgets Outside Cash Limits,,BUDOCL,Budgets Outside Cash Limits,FH0001,Treasury Management,FH00012,Treasury Management
Blackpool Council,Key Engineering Supplies Ltd,1000771,91407,02/10/2023,"2,679.28",446.55,Highways & Engineering,90018,19514,Stocks Efin,Balance Sheet Blackpool Services,,ZBPLSER,Balance Sheet Blackpool Services,ZBPLSER2,Balance Sheet Blackpool Services,ZBPLSER4,Balance Sheet Blackpool Services
Blackpool Council,Team-Teach Ltd,1000590,91436,13/10/2023,936,156,Boundary Primary - General,10082,60911,Training Expenses,Children's Services,,CHISER,Children's Services,DELEGA,Schools - Delegated,ED071,Boundary Park Community
Blackpool Council,REAL CARE CHILDREN SERVICES LTD,1140706,91447,04/10/2023,"1,086.12",0,Sct17,10545,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Red Rose Landscapes Ltd,1002340,91453,13/10/2023,453.6,75.6,Boundary Primary - General,10082,61021,Growing,Children's Services,,CHISER,Children's Services,DELEGA,Schools - Delegated,ED071,Boundary Park Community
Blackpool Council,Nonstop Consulting Ltd,1002770,91457,09/10/2023,"1,691.46",281.91,Supporting Our Children,10510,60791,Agency Staff,Children's Services,,CHISER,Children's Services,JBT,Looked After Children,JBT2,Looked After Children
Blackpool Council,BENNETT WORKPLACE SOLUTIONS LTD,1140373,91547,06/10/2023,"4,632.66",772.11,Sen Central Team,10430,65401,Aids To Daily Living,Children's Services,,CHISER,Children's Services,JCAA,Cwan - Management & Admin,JCAA2,Cwan - Management & Admin
Blackpool Council,TOMCAT SPECIAL NEEDS INNOVATION LIMITED,1140080,91596,03/10/2023,"5,270.40",878.4,Sen Central Team,10430,65401,Aids To Daily Living,Children's Services,,CHISER,Children's Services,JCAA,Cwan - Management & Admin,JCAA2,Cwan - Management & Admin
Blackpool Council,Prism Medical Uk Ltd,1000034,91600,10/10/2023,513.68,85.62,Balance Sheet,90000,19081,VAT ADJUSTMENT,Not Applicable,,NA,Not Applicable,NA,Not Applicable,NA,Not Applicable
Blackpool Council,REDACTED PERSONAL DATA,1000538,91632,03/10/2023,540,90,Legal And Court Costs,61060,64707,Counsels Fees,Governance & Partnerships,,DEMTOT,Governance & Partnerships,LADTOT1,Legal Services,LADTOT3,Legal Services
Blackpool Council,REDACTED PERSONAL DATA,1006186,91636,06/10/2023,360,60,Legal And Court Costs,61060,64707,Counsels Fees,Governance & Partnerships,,DEMTOT,Governance & Partnerships,LADTOT1,Legal Services,LADTOT3,Legal Services
Blackpool Council,REDACTED PERSONAL DATA,1005200,91641,09/10/2023,"2,400.00",400,Planning Development Management,50137,63807,Legal and Court Costs,Communication & Regeneration,,AMCPI,Communication & Regeneration,HP,Planning Services,HP2,Planning Services
Blackpool Council,REDACTED PERSONAL DATA,1001065,91642,03/10/2023,"1,980.00",330,Legal And Court Costs,61060,64707,Counsels Fees,Governance & Partnerships,,DEMTOT,Governance & Partnerships,LADTOT1,Legal Services,LADTOT3,Legal Services
Blackpool Council,REDACTED PERSONAL DATA,1002744,91643,03/10/2023,"1,530.00",255,Legal And Court Costs,61060,64707,Counsels Fees,Governance & Partnerships,,DEMTOT,Governance & Partnerships,LADTOT1,Legal Services,LADTOT3,Legal Services
Blackpool Council,Foresight Clinical Services Ltd,1003604,91650,04/10/2023,486,81,External Legal Fees,10493,64712,Experts Fees,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Applied Psychology Services Limited,1005009,91657,03/10/2023,"2,288.16",381.36,External Legal Fees,10493,64712,Experts Fees,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Act Now Training Ltd,1000991,91658,03/10/2023,478.8,79.8,Information Governance,61051,60911,Training Expenses,Governance & Partnerships,,DEMTOT,Governance & Partnerships,GDPR1,Information Governance,GDPR3,Information Governance
Blackpool Council,Act Now Training Ltd,1000991,91659,03/10/2023,478.8,79.8,Information Governance,61051,60911,Training Expenses,Governance & Partnerships,,DEMTOT,Governance & Partnerships,GDPR1,Information Governance,GDPR3,Information Governance
Blackpool Council,Sellick Partnership Limited,1001076,91663,03/10/2023,"1,596.62",266.1,"Prop, Comm & Litigation Gen",61002,60793,Supply Other,Governance & Partnerships,,DEMTOT,Governance & Partnerships,LADTOT1,Legal Services,LADTOT3,Legal Services
