DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,Revised Report Amount,Revised Report Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,671.48,671.48,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,671.48,671.48,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,690.31,690.31,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,835.9,835.9,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,633.96,633.96,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,540.98,540.98,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,633.96,633.96,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,539.69,539.69,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,693.55,693.55,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,DERBYSHIRE CARE SERVICES,02/05/2023,3498,507.06,507.06,West OP (over 65) Memory - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,DERBYSHIRE CARE SERVICES,02/05/2023,3498,507.06,507.06,West OP (over 65) Memory - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,507.06,507.06,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,739.89,739.89,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,671.48,671.48,Central OP (over 65) Physical - DP/Mgd,,SME
Communities & Place,City Development & Growth,Regeneration and Major Projects,Markets,REDACTED,02/05/2023,17,"1,723.62","1,723.62",Market Hall Refurbishment Project - Decant Costs,,Sole Trader
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,671.48,671.48,Central OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,624.03,624.03,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,671.48,671.48,East OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,DERBYSHIRE CARE SERVICES,02/05/2023,3498,657.68,657.68,South OP (over 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,DERBYSHIRE CARE SERVICES,02/05/2023,3498,657.68,657.68,South OP (over 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,673.84,673.84,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,673.84,673.84,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,751.52,751.52,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,751.52,751.52,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,"1,283.28","1,283.28",South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,606.16,606.16,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,606.16,606.16,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,"1,283.28","1,283.28",South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,743.44,743.44,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,743.44,743.44,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,620.16,620.16,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,"1,061.56","1,061.56",South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,520.36,520.36,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,553.16,553.16,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,553.16,553.16,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,859.95,859.95,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,859.95,859.95,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,650.04,650.04,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,584.73,584.73,West Adults (under 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,500.92,500.92,South Adults (under 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,769.28,769.28,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,769.28,769.28,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,678.96,678.96,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,678.96,678.96,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,673.76,673.76,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,500.08,500.08,West Adults (under 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,732.56,732.56,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,732.56,732.56,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,METROPOLITAN HOUSING TRUST LTD,02/05/2023,3652,913.2,913.2,Central Adults (under 65) LD - DP/Mgd,,Company
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,METROPOLITAN HOUSING TRUST LTD,02/05/2023,3652,504.96,504.96,Ordinary Lives LD Support (under 65) - DP/Mgd,,Company
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,METROPOLITAN HOUSING TRUST LTD,02/05/2023,3652,"1,254.88","1,254.88",Ordinary Lives LD Support (under 65) - DP/Mgd,,Company
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,METROPOLITAN HOUSING TRUST LTD,02/05/2023,3652,504.96,504.96,Ordinary Lives LD Support (under 65) - DP/Mgd,,Company
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,METROPOLITAN HOUSING TRUST LTD,02/05/2023,3652,"1,341.30","1,341.30",Ordinary Lives LD Support (under 65) - DP/Mgd,,Company
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,METROPOLITAN HOUSING TRUST LTD,02/05/2023,3652,"1,254.88","1,254.88",Ordinary Lives LD Support (under 65) - DP/Mgd,,Company
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,METROPOLITAN HOUSING TRUST LTD,02/05/2023,3652,"1,254.88","1,254.88",Ordinary Lives LD Support (under 65) - DP/Mgd,,Company
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,METROPOLITAN HOUSING TRUST LTD,02/05/2023,3652,"1,341.30","1,341.30",Ordinary Lives LD Support (under 65) - DP/Mgd,,Company
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,METROPOLITAN HOUSING TRUST LTD,02/05/2023,3652,"1,254.88","1,254.88",Ordinary Lives LD Support (under 65) - DP/Mgd,,Company
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,METROPOLITAN HOUSING TRUST LTD,02/05/2023,3652,"1,254.88","1,254.88",Ordinary Lives LD Support (under 65) - DP/Mgd,,Company
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,METROPOLITAN HOUSING TRUST LTD,02/05/2023,3652,"1,341.30","1,341.30",Ordinary Lives LD Support (under 65) - DP/Mgd,,Company
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,METROPOLITAN HOUSING TRUST LTD,02/05/2023,3652,"1,010.60","1,010.60",Ordinary Lives LD Support (under 65) - DP/Mgd,,Company
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,METROPOLITAN HOUSING TRUST LTD,02/05/2023,3652,"1,254.88","1,254.88",Ordinary Lives LD Support (under 65) - DP/Mgd,,Company
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,METROPOLITAN HOUSING TRUST LTD,02/05/2023,3652,"1,010.60","1,010.60",Ordinary Lives LD Support (under 65) - DP/Mgd,,Company
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,METROPOLITAN HOUSING TRUST LTD,02/05/2023,3652,"1,254.88","1,254.88",Ordinary Lives LD Support (under 65) - DP/Mgd,,Company
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,METROPOLITAN HOUSING TRUST LTD,02/05/2023,3652,"1,010.60","1,010.60",Ordinary Lives LD Support (under 65) - DP/Mgd,,Company
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,METROPOLITAN HOUSING TRUST LTD,02/05/2023,3652,"1,254.88","1,254.88",Ordinary Lives LD Support (under 65) - DP/Mgd,,Company
Communities & Place,City Development & Growth,Regeneration and Major Projects,Markets,REDACTED,02/05/2023,19,"3,956.00","3,956.00",Market Hall Refurbishment Project - Decant Costs,,Sole Trader
Communities & Place,City Development & Growth,Regeneration and Major Projects,Markets,REDACTED,02/05/2023,18,"1,558.04","1,558.04",Market Hall Refurbishment Project - Decant Costs,,Sole Trader
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,METROPOLITAN HOUSING TRUST LTD,02/05/2023,3652,"1,254.80","1,254.80",West Adults (under 65) LD - DP/Mgd,,Company
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,METROPOLITAN HOUSING TRUST LTD,02/05/2023,3652,"1,254.80","1,254.80",West Adults (under 65) LD - DP/Mgd,,Company
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,METROPOLITAN HOUSING TRUST LTD,02/05/2023,3652,"1,254.80","1,254.80",West Adults (under 65) LD - DP/Mgd,,Company
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,METROPOLITAN HOUSING TRUST LTD,02/05/2023,3652,"1,254.80","1,254.80",West Adults (under 65) LD - DP/Mgd,,Company
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,METROPOLITAN HOUSING TRUST LTD,02/05/2023,3652,"1,254.80","1,254.80",West Adults (under 65) LD - DP/Mgd,,Company
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,METROPOLITAN HOUSING TRUST LTD,02/05/2023,3652,"1,210.24","1,210.24",Ordinary Lives LD Support (under 65) - DP/Mgd,,Company
