Transaction Number,Supplier Name,Paid Date,Total,Vat,Service Area,Service Sub Area,Merchant Category
0000326372,BARCHAM TREES LTD,10/12/2024,943.20,157.20,Depot,Grounds Maintenance,Operational equip mats & suppl
0000326378,GAMMA BUSINESS COMMUNICATIONS,13/12/2024,"5,128.30",854.72,Information Technology,Office Services,Telephones call charges
0000326379,FRONTLINE,13/12/2024,"5,708.32",951.38,Community Safety and Corporate Services,Corporate Publicity,Borough Newspaper & annual rep
0000326381,MALLARD CONSULTANCY LTD,13/12/2024,"1,198.80",199.80,Depot,Grounds Maintenance,Operational Training
0000326382,INSIDE HOUSING SOLUTIONS LTD,13/12/2024,"4,800.00",800.00,Environmental Health,Noise Control,OutOfHoursCallService
0000326384,SELLICK PARTNERSHIP LTD,10/12/2024,"1,742.40",290.40,Car Parks,Legal,Agency Staff
0000326388,VIVID RESOURCING,20/12/2024,"2,052.00",342.00,Planning,Planning Policy and Implement,Agency Staff
0000326389,VIVID RESOURCING,20/12/2024,"4,069.80",678.30,Planning,Planning Policy and Implement,Agency Staff
0000326390,VIVID RESOURCING,20/12/2024,"1,539.00",256.50,Planning,Planning Policy and Implement,Agency Staff
0000326391,REDACTED PERSONAL INFORMATION,13/12/2024,"28,620.00","4,770.00",Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326397,REDACTED PERSONAL INFORMATION,13/12/2024,"28,488.00","4,748.00",Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326398,STAINES-UPON-THAMES BID LTD,13/12/2024,"13,302.77","2,217.13",Office Services,Staines BID,Rechargeable Works Expenditure
0000326399,STAINES-UPON-THAMES BID LTD,13/12/2024,"6,637.50","1,106.25",Office Services,Staines BID,Rechargeable Works Expenditure
0000326401,ELMBRIDGE BUILDING CONTROL SERVICES LTD,13/12/2024,"1,560.00",260.00,Building Control,Building Control,Elmbridge BC Services
0000326402,REID'S PLAYGROUND MAINTENANCE LTD,13/12/2024,816.00,136.00,Environmental Health,Grounds Maintenance,Playground Improvements
0000326403,WOKING BOROUGH COUNCIL,20/12/2024,"3,979.56",663.26,Independent Living,Home Improvement Agency (HIA),Operational Equipment Maint.
0000326405,ASHFORD GLASS & WINDOW CO,13/12/2024,"5,088.00",848.00,Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000326410,REDACTED PERSONAL INFORMATION,13/12/2024,"1,540.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326413,SURF & TURF INSTANT SHELTERS,13/12/2024,"1,038.00",173.00,Depot,Grounds Maintenance,Operational equip mats & suppl
0000326422,MORGAN HUNT,13/12/2024,"1,360.80",226.80,Office Services,Customer Services,Agency Staff
0000326423,VIVID RESOURCING,17/12/2024,"1,692.00",282.00,Environmental Health,Environmental Health Admin,Agency Staff
0000326425,G2RECRUITMENT,13/12/2024,"3,323.26",553.88,Environmental Health,Environmental Health Admin,Agency Staff
0000326426,VIVID RESOURCING,13/12/2024,748.80,124.80,Environmental Health,Environmental Health Admin,Agency Staff
0000326427,VIVID RESOURCING,13/12/2024,"1,716.00",286.00,Environmental Health,Environmental Health Admin,Agency Staff
0000326429,APPLIED RESILIENCE,13/12/2024,"19,128.03","3,188.00",Projects,Emergency Planning,External Contracts
0000326430,STREETMASTER PRODUCTS,13/12/2024,943.20,157.20,Depot,Grounds Maintenance,Operational equip mats & suppl
0000326431,TRAVELERS INSURANCE CO LTD,13/12/2024,"10,000.00",0.00,Environmental Health,Insurance Holding Account,Cash received
0000326434,LCE,13/12/2024,"11,190.00","1,865.00",Projects,Sunbury LC Decarb project Cap,Equipment
0000326448,PHS GROUP LTD,13/12/2024,"1,815.00",302.50,Office Services,Fordbridge Day Centre,Operational Equipment Maint.
