Service Division Org,Expense Type,Detailed Expense Typ,Expense Code,Amount Supplier Name,,Payment Date,,
Support Functions,Supplies & Services,Clothing Uniforms & Laundry,Clothing & Uniforms - Returns,948.65,Helmet City Somerset Limited,31/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,"1,697.00",Somerset Council,09/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Cleaning & Domestic Supplies,Confidential Waste Costs,"1,754.00",Perrys Recycling Ltd,14/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Workshops/Maintenance,Vehicle Workshop,895.00,DIRT DRIVER LTD,03/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Medical Fees,Drugs & Medical Requisites,,892.54 Midland Pathology Services Ltd,07/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired,900.00,Vestigo consulting Ltd,21/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Employees,Police Overtime,Police PC - Basic Pay & OT,"43,888.39",PCC for Wiltshire,24/10/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Specialist Operations,Supplies & Services,Other Expenses,Courses Fees,,"-9,218.75  College of Policing Ltd",10/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Transport,Vehicle Hire,Taxis,12.00,Corporate Support HQ Imprest,31/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
PCC,Third Party Payments,Payments to Clients,Grants - Voluntary Orgs,"10,475.49",Unseen (UK),14/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Roads Policing,Supplies & Services,Communications & Computing,Network Services,"84,751.00",BT PLC,24/10/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Specialist Operations,Premises,Energy Costs,Gas,129.79,PCC for Devon & Cornwall,17/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Analyse,Supplies & Services,Equipment Furniture & Materials,Equipment,"1,200.00",Buddi Ltd,14/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Communications & Computing,Hardware - R&M,772.42,Vodafone Ltd,17/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,536.39,BRISTOL STREET MOTORS,10/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Supplies & Services,Communications & Computing,Software - Purchases (S&M),"9,414.00",Tyco Fire & Integrated Solutions UK,03/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Other Expenses,Licences & Orders,863.00,Vodafone Ltd,03/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,689.58,The Parts Alliance Ltd,24/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Planned Repair & Maintenance,Planned Maintenance - Building Services,638.85,Blue Light Partnership,31/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,,706.56 Waylands Bristol,17/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Premises,Rent Rates & Water,National Non Domestic Rates,"4,996.00",PCC for Devon & Cornwall,17/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Supplies & Services,Medical Fees,Drugs & Medical Requisites,"1,299.20",AAH Pharmaceuticals Ltd,10/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,"2,009.66",Serenco (UK) Ltd,10/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Third Party Payments,Other Local Authorities or Forces,Contributions to Other Forces,"79,748.00",The PCC for West Midlands,10/10/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Local Policing,Third Party Payments,Other Local Authorities or Forces,Contributions to Other Forces,"19,052.75",PCC for Wiltshire,21/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Local Policing,Supplies & Services,Grants & Subscriptions,Subscriptions,"2,576.93",Police Fed of Eng & Wales-Specials,14/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Unplanned Repair & Maintenance,Reactive Maintenance - Building Fabric,"1,243.75",N & S Flooring (Bristol) Ltd,03/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Disused,Transport,Vehicle Allowances,Travel fares,188.70,PCC for Dorset,21/10/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,465.00,Emergency Vehicle Products Limited,17/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Unplanned Repair & Maintenance,Reactive Maintenance - Building Services,"6,112.11",Integral UK Ltd,14/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired,"5,951.94",Sodexo Limited,28/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Unplanned Repair & Maintenance,Reactive Maintenance - Building Services,"1,866.24",Electrio Ltd,24/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Supplies & Services,Subsistence & Conference,Accommodation,332.50,The Police Foundation,07/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,Rents,964.58,Defence Infrastructure Organisation,03/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,758.34,GOODYEAR TYRES UK LTD,17/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,763.00,Somerset Council,09/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Analyse,Supplies & Services,Printing Stationery & Office Exp,Printing,300.90,Xerox (UK) Ltd,21/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Supplies & Services,Court Application Fees,"7,221.00",,07/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment Furniture & Materials,Equipment,716.35,J & B Electric Power Tool Co Ltd,14/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Supplies & Services,Printing Stationery & Office Exp,Printing,266.10,Xerox (UK) Ltd,17/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Employees,Police Pay & Allowances,"Police Sergeant - Basic Pay, NI & Pension","10,035.18",PCC for Dorset,21/10/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Equipment Furniture & Materials,Equipment,"1,840.00",DRA Maintenance Ltd,14/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Equipment Furniture & Materials,Equipment,5.42,Corporate Support HQ Imprest,10/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,Other Plant & Equipment,518.42,,31/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Roads Policing,Employees,Police Staff Pay & Allowances,Staffing Agency,"1,178.76",Hays Specialist Recruitment Ltd,21/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment Furniture & Materials,Loose Furniture,"2,000.60",Gresham Office Furniture Limited,17/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Employees,Police Pay & Allowances,Police Sergeant - Basic Pay,"9,814.63",PCC for Dorset,21/10/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Specialist Operations,Employees,Police Pay & Allowances,Police Sergeant - Basic Pay,"8,990.50",PCC for Gloucestershire,17/10/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Premises,Rent Rates & Water,Landlords Service Charge,"10,768.00",SOMERSET COUNCIL,10/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Roads Policing,Supplies & Services,Printing Stationery & Office Exp,Stationery,624.00,Banner t/a Complete Business,17/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Employees,Police Staff Pay & Allowances,Staffing Agency,"1,000.00",,24/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,571.00,Somerset Council,09/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
