Nstrg(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200086355,1,202305,Barclaycard - Global Commercial Payments,61.01 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200086410,1,202305,Barclaycard - Global Commercial Payments,11.15 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200086427,1,202305,Barclaycard - Global Commercial Payments,36.74 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200086472,1,202305,Barclaycard - Global Commercial Payments,91.69 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200086490,1,202305,Barclaycard - Global Commercial Payments,5.22 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200086491,1,202305,Barclaycard - Global Commercial Payments,243.42 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200086505,1,202305,Barclaycard - Global Commercial Payments,75.60 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200086699,1,202305,Barclaycard - Global Commercial Payments,8.89 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200086892,1,202305,Barclaycard - Global Commercial Payments,45.60 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200087034,1,202305,Barclaycard - Global Commercial Payments,10.67 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200087053,1,202305,Barclaycard - Global Commercial Payments,16.79 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200087139,1,202305,Barclaycard - Global Commercial Payments,115.20 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200087379,1,202305,Barclaycard - Global Commercial Payments,26.15 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200087526,1,202305,Barclaycard - Global Commercial Payments,152.59 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200088118,1,202305,Barclaycard - Global Commercial Payments,44.22 ,01/08/2023
