Service Area,Service Division,Expense Type,Expense Code,Detailed Expense Type,Payment Date,Transaction Number,Amount Exc VAT,Supplier Name,,,,,,
Chief Executives Office,Legal & Democratic Services,Supplies and Services,338108,Services,03/09/2024,4310355-PNC2023/0104,£500.00,FORENSIC PATHOLOGY LTD.,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,384199,Miscellaneous Expenses,03/09/2024,4310357-374,"£8,997.50",GAZEBOS FOR HIRE LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,03/09/2024,4310359-11165,"£68,079.70",HADRIAN ARCHITECTURAL GLAZING SYSTEMS LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430100,Rendered by Private Contractors,03/09/2024,4310364-1524032149,£819.31,HIAB LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430100,Rendered by Private Contractors,03/09/2024,4310364-1524032150,£534.51,HIAB LTD.,,,,,,
Regeneration Economy and Growth,Planning & Housing,Fees,901002,Consultants fees 901002,03/09/2024,4310369-23611,"£3,500.00",IDENTITY CONSULT LTD.*,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Premises,120009,Energy Costs,03/09/2024,4310371-19276,"£1,568.65",IMPALA ESTATES LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,03/09/2024,4310373-0826/2024,"£1,558.00",J & JG GILL & SONS LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,03/09/2024,4310376-0303/01372451,£685.68,JT DOVE LTD.,,,,,,
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,384999,Miscellaneous Expenses,03/09/2024,4310377-10040726,"£3,423.75",KARBON HOMES LTD FORMERLY CESTRIA HOUSING ASSOCIATION LTD.,,,,,,
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,384999,Miscellaneous Expenses,03/09/2024,4310377-3280250,"£1,000.00",KARBON HOMES LTD FORMERLY CESTRIA HOUSING ASSOCIATION LTD.,,,,,,
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,384999,Miscellaneous Expenses,03/09/2024,4310377-RES-09-2024-015,"£3,423.75",KARBON HOMES LTD FORMERLY CESTRIA HOUSING ASSOCIATION LTD.,,,,,,
Adult and Health Services,Commissioning inc Supporting People,Third Party Payments,479102,Purchase of Care,03/09/2024,4310381-LCD-FTI196067,"£7,723.83",LEONARD CHESHIRE DISABILITY.,,,,,,
Adult and Health Services,Commissioning inc Supporting People,Third Party Payments,479102,Purchase of Care,03/09/2024,4310381-LCD-FTI196068,"£6,143.80",LEONARD CHESHIRE DISABILITY.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,03/09/2024,4310385-MS5260,£540.00,M SPENCE SURFACING LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,03/09/2024,4310385-MS5266,£738.00,M SPENCE SURFACING LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,03/09/2024,4310385-MS5269,£756.00,M SPENCE SURFACING LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,03/09/2024,4310385-MS5277,£900.00,M SPENCE SURFACING LTD.,,,,,,
Adult and Health Services,Commissioning inc Supporting People,Third Party Payments,479102,Purchase of Care,03/09/2024,4310387-14199,"£12,084.00",MAIN - TAKING AUTISM PERSONALLY.,,,,,,
Adult and Health Services,Commissioning inc Supporting People,Third Party Payments,479102,Purchase of Care,03/09/2024,4310387-14200,"£11,757.00",MAIN - TAKING AUTISM PERSONALLY.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430100,Rendered by Private Contractors,03/09/2024,4310393-9983295384,£994.95,MITCHELL POWERSYSTEMS.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430100,Rendered by Private Contractors,03/09/2024,4310393-9983295385,"£1,874.44",MITCHELL POWERSYSTEMS.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,03/09/2024,4310397-51468,"£2,658.44",NE & C WINDOWS & DOORS LTD.,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,384199,Miscellaneous Expenses,03/09/2024,4310403-NEI-HCL-08-2024-009,"£36,360.00",NORTHERN HEARTLANDS.,,,,,,
Regeneration Economy and Growth,Economic Development CL0150,Supplies and Services,384086,Miscellaneous Expenses,03/09/2024,4310408-VOUCHER23NB-BASH036,"£5,000.00",PARKPLAY LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430100,Rendered by Private Contractors,03/09/2024,4310412-TEE27369,£771.26,PIRTEK CLEVELAND.,,,,,,
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,338099,Services,03/09/2024,4310414-9835,£715.00,POSITIVE MEDIA MARKETING LTD.,,,,,,
Resources BK0010,Transactional & Customer Services,Supplies and Services,340001,Postages E340,03/09/2024,4310419-9071119375,"£24,814.23",ROYAL MAIL GROUP PLC.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,03/09/2024,4310420-4205,£760.00,S & R LANDSCAPES.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,03/09/2024,4310420-4206,£954.00,S & R LANDSCAPES.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,03/09/2024,4310420-4207,"£1,120.00",S & R LANDSCAPES.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,03/09/2024,4310420-4208,"£1,053.00",S & R LANDSCAPES.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,03/09/2024,4310420-4209,"£1,604.00",S & R LANDSCAPES.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,03/09/2024,4310420-4210,"£1,693.80",S & R LANDSCAPES.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,03/09/2024,4310420-4211,"£1,106.00",S & R LANDSCAPES.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,03/09/2024,4310420-4212,"£1,245.00",S & R LANDSCAPES.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,03/09/2024,4310420-4213,£962.00,S & R LANDSCAPES.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,03/09/2024,4310420-4214,£962.00,S & R LANDSCAPES.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,03/09/2024,4310420-4215,"£1,312.00",S & R LANDSCAPES.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,03/09/2024,4310420-4216,"£1,312.00",S & R LANDSCAPES.,,,,,,
Neighbourhoods and Climate Change,Highways,Third Party Payments,430127,Rendered by Private Contractors,03/09/2024,4310420-4247,"£16,120.00",S & R LANDSCAPES.,,,,,,
Adult and Health Services,Adults Excluded,Supplies and Services,338066,Services,03/09/2024,4310426-SINV19384,"£7,357.14",SKILLS FOR CARE SOLUTIONS LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,03/09/2024,4310430-9048616944,£595.35,TARMAC TRADING LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,03/09/2024,4310430-9048630524,"£1,275.53",TARMAC TRADING LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,03/09/2024,4310430-9048704716,£800.63,TARMAC TRADING LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,03/09/2024,4310440-263713,"£1,201.92",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,03/09/2024,4310440-264636,£803.91,TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,03/09/2024,4310440-264642,"£1,069.00",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,03/09/2024,4310440-264648,"£1,285.60",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,03/09/2024,4310440-264649,£887.35,TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,03/09/2024,4310440-264652,£887.04,TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,03/09/2024,4310440-264653,"£1,069.00",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,03/09/2024,4310440-264656,"£1,070.90",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,03/09/2024,4310440-264661,"£1,067.10",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,03/09/2024,4310440-264666,"£1,070.90",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,03/09/2024,4310440-264674,"£1,331.37",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,03/09/2024,4310440-264675,"£1,320.94",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,03/09/2024,4310440-264676,"£1,323.92",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,03/09/2024,4310440-264688,£879.90,TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,03/09/2024,4310440-264706,"£1,596.59",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,03/09/2024,4310440-264710,£714.78,TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,03/09/2024,4310440-264719,£820.30,TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,338078,Services,03/09/2024,4310446-INV-67067,"£2,503.20",VISTECH SERVICES LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,338078,Services,03/09/2024,4310446-INV-67069,"£1,758.20",VISTECH SERVICES LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,338078,Services,03/09/2024,4310446-INV-67073,"£1,028.10",VISTECH SERVICES LTD.,,,,,,
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Supplies and Services,338078,Services,03/09/2024,4310446-INV-67076,"£5,050.08",VISTECH SERVICES LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,338078,Services,03/09/2024,4310446-INV-67081,"£2,503.20",VISTECH SERVICES LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,03/09/2024,4310452-1212673,£553.35,YOUR NRG LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,215023,Running Costs of Vehicles,03/09/2024,4310452-1215299,£664.65,YOUR NRG LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,215005,Running Costs of Vehicles,03/09/2024,4310452-1217095,"£10,794.08",YOUR NRG LTD.,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,384302,Miscellaneous Expenses,04/09/2024,4310582-00330,"£1,950.00",REDACTED - PAYMENT TO INDIVIDUAL,,,,,,
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,364501,Grants to Voluntary Organisations,04/09/2024,4310479-INV-3924,£595.00,BRIGHTLIGHT MANAGEMENT LIMITED.,,,,,,
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,364501,Grants to Voluntary Organisations,04/09/2024,4310479-INV-3925,£500.00,BRIGHTLIGHT MANAGEMENT LIMITED.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,338099,Services,04/09/2024,4310541-998,"£22,895.00",HERITAGE CONSOLIDATION LTD.,,,,,,
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,352001,Conference Expenses,04/09/2024,4310546-2023-480,£540.00,HOUSING TRAINING & CONSULTANCY LTD.,,,,,,
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,352001,Conference Expenses,04/09/2024,4310634-INV-1087,£799.00,QUODOX TRAINING LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,338066,Services,04/09/2024,4310670-89,"£4,895.00",T ICETON AGRIXULTURAL & FABRICATION SERVICES.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Vehicles Equipment Furniture and Fittings,912529,Purchase-equipment,04/09/2024,4310675-1307,"£4,586.00",TAYLORED ENVIRONMENTAL ENGINEERING LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304999,Equipment and Materials,04/09/2024,4310688-DCC/120824,£550.00,TYNE & WEAR PLAY LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,04/09/2024,4310691-1237747,£737.40,UK PLUMBING SUPPLIES LTD T/A CROSSLING.,,,,,,
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,384999,Miscellaneous Expenses,04/09/2024,4310595-0023,£500.00,REDACTED - PAYMENT TO INDIVIDUAL,,,,,,
Adult and Health Services,Public Health CC0450,Third Party Payments,460803,Contract Payments,04/09/2024,4310455-INV-2926,"£45,839.00",ABL HEALTH LTD.,,,,,,
Adult and Health Services,Public Health CC0450,Third Party Payments,460803,Contract Payments,04/09/2024,4310457-INV10601,"£3,303.00",ADFERIAD RECOVERY LTD.,,,,,,
Adult and Health Services,Public Health CC0450,Third Party Payments,460803,Contract Payments,04/09/2024,4310457-INV10602,"£3,303.00",ADFERIAD RECOVERY LTD.,,,,,,
Adult and Health Services,Public Health CC0450,Third Party Payments,460803,Contract Payments,04/09/2024,4310457-INV10603,"£3,303.00",ADFERIAD RECOVERY LTD.,,,,,,
Adult and Health Services,Public Health CC0450,Third Party Payments,460803,Contract Payments,04/09/2024,4310457-INV10604,£660.60,ADFERIAD RECOVERY LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304259,Equipment and Materials,04/09/2024,4310459-428767400,£534.63,AIR PRODUCTS PLC.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Vehicles Equipment Furniture and Fittings,912521,Purchase-furniture and fittings,04/09/2024,4310460-182512,£780.00,ALBANY OFFICE EQUIPMENT (WHOLESALE) LTD.,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Construction work A908,908105,Construction work,04/09/2024,4310461-12939,"£121,444.98",ALLIANCE LEISURE SERVICES LTD.,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Construction work A908,908105,Construction work,04/09/2024,4310461-12940,"£40,631.06",ALLIANCE LEISURE SERVICES LTD.,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Construction work A908,908105,Construction work,04/09/2024,4310461-13240,"£71,555.75",ALLIANCE LEISURE SERVICES LTD.,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Construction work A908,908105,Construction work,04/09/2024,4310461-13354,"£14,850.00",ALLIANCE LEISURE SERVICES LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Third Party Payments,460224,Contract Payments,04/09/2024,4310466-31537,"£194,144.90",ARM PIPETEK LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,04/09/2024,4310476-36979,"£1,523.75",BRAY CRANES LTD.*,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Premises,145023,Cleaning and Domestic Supplies,04/09/2024,4310477-22SI2302049,"£1,034.80",BRENNTAG UK LTD.,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Premises,120037,Energy Costs,04/09/2024,4310483-92160981,"£1,108.00",CALOR GAS LTD.,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Premises,145023,Cleaning and Domestic Supplies,04/09/2024,4310489-CN30366704,£535.20,CITRON HYGIENE UK LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Premises,150015,Apportioned Exps of Operational Blds,04/09/2024,4310492-243803,£896.95,CLEE HILL PLANT LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Premises,150015,Apportioned Exps of Operational Blds,04/09/2024,4310492-248297,£896.96,CLEE HILL PLANT LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Third Party Payments,430100,Rendered by Private Contractors,04/09/2024,4310496-CTA/DCC/ADULTSKILLS/2024,"£5,861.53",COMMUNICATORS TRAINING ASSOCIATES LTD.,,,,,,
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Supplies and Services,384199,Miscellaneous Expenses,04/09/2024,4310500-THK076,"£2,480.00",COUNTY DURHAM FURNITURE HELP SCHEME (CDFHS).,,,,,,
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Supplies and Services,384409,Miscellaneous Expenses,04/09/2024,4310501-FOODANDFUNDURHAM2024,"£5,796.63",CREATIVE KITCHEN.,,,,,,
Regeneration Economy and Growth,Business Durham,Supplies and Services,377015,County Durham Development,04/09/2024,4310502-INV-12187,"£1,470.00",CREATIVE LIVE.,,,,,,
Adult and Health Services,Public Health CC0450,Supplies and Services,342051,Computers and Communications,04/09/2024,4310504-8296,"£5,500.00",CYBER MEDIA SOLUTIONS LTD.,,,,,,
