Local authority department which incurred the expenditure,Service Division,Cost Centre,Summary of the Purpose of Expenditure,Expense Type,Expense Code,Detailed Expense Type,Date of Transaction,Transaction Number,Beneficiary,Merchant Category Number,Merchant Category,Gross Amount,VAT,Net Amount
Children and Young Peoples Services,Head of Education and Skills,071732,Dean Bank Childcare,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320675056,AMZNMktplace 9U8HC0365,5999,Other consumables,94.97,0.00,94.97
Children and Young Peoples Services,Head of Education and Skills,071732,Dean Bank Childcare,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320675062,CO-OP GROUP 010518,5411,Catering costs - provisions,8.60,0.00,8.60
Neighbourhoods and Climate Change,Environmental Services,031202,North Pennines - Peatscapes,Transport,235057,Public Transport,04-Dec-2024,000010320675136,PRINCE BISHOPS CAR PAR,7523,Staff travelling,6.20,0.00,6.20
Resources BK0010,Procurement Sales & Business Services,065502,Business Support - Crook,Transport,235057,Public Transport,04-Dec-2024,000010320675212,WWW.GONORTHEAST.CO.UK,4111,Staff travelling,2.00,0.00,2.00
Resources BK0010,Procurement Sales & Business Services,065502,Business Support - Crook,Transport,235057,Public Transport,04-Dec-2024,000010320675224,WWW.GONORTHEAST.CO.UK,4111,Staff travelling,2.00,0.00,2.00
Resources BK0010,Procurement Sales & Business Services,065502,Business Support - Crook,Supplies and Services,328041,Clothing uniforms and laundry E328,04-Dec-2024,000010320675234,WWW.ARGOS.CO.UK,5311,Clothing uniforms and laundry,279.00,0.00,279.00
Resources BK0010,Digital Services,065335,School Services - Implementations,Supplies and Services,342033,Computers and Communications,04-Dec-2024,000010320675314,AMZNMktplace VN0D02AI5,5999,Computer hardware,12.98,2.16,10.82
Resources BK0010,Transactional & Customer Services,065180,Collections,Supplies and Services,338048,Services,04-Dec-2024,000010320675358,HMCTS DURHAM012,9222,Court costs 338048,719.50,0.00,719.50
Dedicated Schools Grant BG0015,DSG High Needs Block,079040,HNB Management and support,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320675442,AMZNMktplace 0P6F21QT5,5999,Other consumables,56.34,9.39,46.95
Dedicated Schools Grant BG0015,DSG High Needs Block,079040,HNB Management and support,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320675442 - 1,AMZNMktplace 0P6F21QT5,5999,Other consumables,70.41,,70.41
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Transport,235073,Public Transport,04-Dec-2024,000010320675448,BOOKING #24175451,4121,Travel-clients/students/children,16.90,0.00,16.90
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Transport,235073,Public Transport,04-Dec-2024,000010320675456,BOOKING #24214053,4121,Travel-clients/students/children,20.10,0.00,20.10
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Transport,235073,Public Transport,04-Dec-2024,000010320675462,BOOKING #24216653,4121,Travel-clients/students/children,19.00,0.00,19.00
Children and Young Peoples Services,Head of Education and Skills,071903,Early Years Sustainability,Employees,040149,Recruitment Instruction and Training,04-Dec-2024,000010320675474,NDNA NATIONAL DAY NURS,8398,Training-all costs,8.50,0.00,8.50
Children and Young Peoples Services,Head of Childrens Social Care,085368,Children in Care Team 5,Transport,235057,Public Transport,04-Dec-2024,000010320675494,BOOKING.COM,4722,Staff travelling,49.12,0.00,49.12
Children and Young Peoples Services,Head of Childrens Social Care,085381,Adoption Team,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320675570,WM Morrisons Store,5411,Catering costs - provisions,12.77,0.00,12.77
Resources BK0010,Procurement Sales & Business Services,065502,Business Support - Crook,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320675578,AMZNMktplace,5999,Other consumables,-34.17,0.00,-34.17
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030110,UKSPF Flexible Fund,Transport,235057,Public Transport,04-Dec-2024,000010320675668,WALKERGATE CAR PAR,7523,Staff travelling,2.00,0.00,2.00
Regeneration Economy and Growth,Culture Sport and Tourism,054233,Bishop Auckland Town Hall Operations,Supplies and Services,328041,Clothing uniforms and laundry E328,04-Dec-2024,000010320675724,W BOYES & CO LTD BISHO,5310,Clothing uniforms and laundry,15.70,0.00,15.70
Regeneration Economy and Growth,Culture Sport and Tourism,054233,Bishop Auckland Town Hall Operations,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320675732,HERON FOODS,5411,Catering costs - provisions,8.05,0.00,8.05
Regeneration Economy and Growth,Culture Sport and Tourism,054233,Bishop Auckland Town Hall Operations,Supplies and Services,328041,Clothing uniforms and laundry E328,04-Dec-2024,000010320675740,THEWORKS,5310,Clothing uniforms and laundry,2.00,0.00,2.00
Adult and Health Services,Head of Adults,055846,Positive Journeys Chester-le-Street,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320675890,AMZNMktplace MN9TP7TP5,5999,Other consumables,7.99,1.33,6.66
Adult and Health Services,Head of Adults,055846,Positive Journeys Chester-le-Street,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320675900,AMZNMktplace 0S9ZO6VM5,5999,Other consumables,9.49,1.58,7.91
Neighbourhoods and Climate Change,Environmental Services,011171,Nei.Prot - Allotments,Supplies and Services,304221,Equipment and Materials,04-Dec-2024,000010320675994,ARBOR TIMBER AND BUILD,5211,Direct materials,133.64,0.00,133.64
Neighbourhoods and Climate Change,Environmental Services,011171,Nei.Prot - Allotments,Supplies and Services,304221,Equipment and Materials,04-Dec-2024,000010320676008,TOOLSTATION LTD,5211,Direct materials,39.80,0.00,39.80
Children and Young Peoples Services,Head of Education and Skills,076001,Music Service,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320676040,AMZNMktplace EA1081595,5999,Other consumables,24.89,4.15,20.74
Children and Young Peoples Services,Head of Childrens Social Care,085551,Short Break Services-Park Hse Sher,Supplies and Services,348037,Subsistence E348,04-Dec-2024,000010320676056,Stack Seaburn,5813,Subsistence,28.20,0.00,28.20
Children and Young Peoples Services,Head of Childrens Social Care,085551,Short Break Services-Park Hse Sher,Supplies and Services,348037,Subsistence E348,04-Dec-2024,000010320676062,MINCHELLA`S FISH & CHI,5812,Subsistence,61.70,0.00,61.70
Children and Young Peoples Services,Head of Childrens Social Care,085551,Short Break Services-Park Hse Sher,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320676072,CO-OP GROUP 010486,5411,Catering costs - provisions,3.75,0.00,3.75
Children and Young Peoples Services,Head of Education and Skills,070168,School Games Organiser,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320676100,AMAZON JJ5B99JP5,5399,Catering costs - provisions,51.42,0.00,51.42
Regeneration Economy and Growth,Planning & Housing,031634,P&H-Hsg Acc-Ind Liv-DCC Dispersed Supp Housing,Supplies and Services,384997,Miscellaneous Expenses,04-Dec-2024,000010320676114,MY PROPERTY BOX LTD,6513,Personalisation Pot,190.00,0.00,190.00
Children and Young Peoples Services,Head of Childrens Social Care,085511,Emergency Duty Team,Transport,235057,Public Transport,04-Dec-2024,000010320676170,UBER TRIP,4121,Staff travelling,18.96,0.00,18.96
Children and Young Peoples Services,Head of Childrens Social Care,085511,Emergency Duty Team,Transport,235057,Public Transport,04-Dec-2024,000010320676178,UBER TRIP,4121,Staff travelling,5.44,0.00,5.44
Children and Young Peoples Services,Head of Childrens Social Care,085511,Emergency Duty Team,Transport,235057,Public Transport,04-Dec-2024,000010320676186,UBER TRIP,4121,Staff travelling,5.60,0.00,5.60
Children and Young Peoples Services,Head of Childrens Social Care,085511,Emergency Duty Team,Transport,235057,Public Transport,04-Dec-2024,000010320676196,UBER TRIP,4121,Staff travelling,5.60,0.00,5.60
Adult and Health Services,Head of Adults,055844,Positive Journeys Barnard Castle,Supplies and Services,328041,Clothing uniforms and laundry E328,04-Dec-2024,000010320676270,POUNDLAND - 2800,5310,Clothing uniforms and laundry,1.00,0.00,1.00
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,04-Dec-2024,000010320676324,TRAVELODGE,3615,Conferencesseminars fees etc,727.92,0.00,727.92
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,04-Dec-2024,000010320676332,TRAVELODGE,3615,Conferencesseminars fees etc,528.10,0.00,528.10
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,04-Dec-2024,000010320676338,Park Head Hotel,7011,Conferencesseminars fees etc,347.50,0.00,347.50
Children and Young Peoples Services,Head of Childrens Social Care,085380,Service Manager CLA Fostering,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320676360,AMAZON NC96E2805,5399,Catering costs - provisions,139.99,23.33,116.66
Regeneration Economy and Growth,Corporate Property and Land,010525,Catering - Green Lane,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320878122,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,124.01,0.00,124.01
Regeneration Economy and Growth,Corporate Property and Land,011275,Catering -Durham Leadership Centre,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320878130,HOPWELLS LTD,5811,Catering costs - provisions,222.08,0.00,222.08
Regeneration Economy and Growth,Corporate Property and Land,011275,Catering -Durham Leadership Centre,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320878140,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,80.96,0.00,80.96
Regeneration Economy and Growth,Corporate Property and Land,030691,Catering - Durham Dales Centre,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320878146,HOPWELLS LTD,5811,Catering costs - provisions,248.27,0.00,248.27
Regeneration Economy and Growth,Corporate Property and Land,030691,Catering - Durham Dales Centre,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320878150,HOPWELLS LTD,5811,Catering costs - provisions,359.60,0.00,359.60
Regeneration Economy and Growth,Corporate Property and Land,030691,Catering - Durham Dales Centre,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320878156,HOPWELLS LTD,5811,Catering costs - provisions,249.39,0.00,249.39
Regeneration Economy and Growth,Corporate Property and Land,030691,Catering - Durham Dales Centre,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320878168,HOPWELLS LTD,5811,Catering costs - provisions,80.22,0.00,80.22
Regeneration Economy and Growth,Corporate Property and Land,030691,Catering - Durham Dales Centre,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320878178,HOPWELLS LTD,5811,Catering costs - provisions,208.78,0.00,208.78
Regeneration Economy and Growth,Corporate Property and Land,030691,Catering - Durham Dales Centre,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320878186,HOPWELLS LTD,5811,Catering costs - provisions,270.23,0.00,270.23
Regeneration Economy and Growth,Corporate Property and Land,030691,Catering - Durham Dales Centre,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320878192,HOPWELLS LTD,5811,Catering costs - provisions,379.37,0.00,379.37
Regeneration Economy and Growth,Corporate Property and Land,030691,Catering - Durham Dales Centre,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320878202,HOPWELLS LTD,5811,Catering costs - provisions,7.08,1.18,5.90
Regeneration Economy and Growth,Corporate Property and Land,030691,Catering - Durham Dales Centre,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320878202 - 1,HOPWELLS LTD,5811,Catering costs - provisions,316.88,,316.88
Regeneration Economy and Growth,Corporate Property and Land,030691,Catering - Durham Dales Centre,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320878208,HOPWELLS LTD,5811,Catering costs - provisions,153.69,0.00,153.69
Regeneration Economy and Growth,Culture Sport and Tourism,054235,Bishop Auckland Town Hall Cafe,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320878222,HOPWELLS LTD,5811,Catering costs - provisions,812.08,0.00,812.08
Regeneration Economy and Growth,Culture Sport and Tourism,054235,Bishop Auckland Town Hall Cafe,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320878226,HOPWELLS LTD,5811,Catering costs - provisions,-42.83,0.00,-42.83
Adult and Health Services,Head of Adults,055643,Hawthorn House LD Respite Unit,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320878232,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,11.83,0.00,11.83
Adult and Health Services,Head of Adults,055643,Hawthorn House LD Respite Unit,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320878238,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,18.67,0.00,18.67
Neighbourhoods and Climate Change,Environmental Services,011060,C&G - Hardwick Park Catering,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320878244,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,-7.60,0.00,-7.60
Regeneration Economy and Growth,Corporate Property and Land,021242,Catering - County Hall,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320878250,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,10.55,0.00,10.55
Regeneration Economy and Growth,Corporate Property and Land,021242,Catering - County Hall,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320878256,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,13.21,0.00,13.21
Regeneration Economy and Growth,Corporate Property and Land,021324,Catering - Meadowfield,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320878280,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,104.00,0.00,104.00
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030689,Inward Investment and Aftercare,Supplies and Services,342222,Computers and Communications,04-Dec-2024,000010327232620,FASTHOSTS,4816,Comp hardware purch-network servers,12.60,0.00,12.60
Adult and Health Services,Head of Adults,055302,Durham Pathways,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010327232912,ALDI STORES,5411,Catering costs - provisions,23.39,0.00,23.39
Children and Young Peoples Services,Head of Childrens Social Care,085341,High Etherley Satelite Home,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010327233562,ALDI 15 774,5411,Catering costs - provisions,13.20,0.00,13.20
Children and Young Peoples Services,Head of Childrens Social Care,085341,High Etherley Satelite Home,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010327233574,774 026,5411,Catering costs - provisions,4.14,0.00,4.14
Regeneration Economy and Growth,Planning & Housing,060472,P&H-Strat & Del-Humanitarian Support programme,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010327233676,774 026,5411,Catering costs - provisions,5.37,0.00,5.37
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085956,Lumley,Supplies and Services,304999,Equipment and Materials,04-Dec-2024,000010327234212,SUPERDRUG STORES PLC,5912,Misc equipment tools and materials,24.00,0.00,24.00
Children and Young Peoples Services,Head of Education and Skills,078441,UK Shared Prosperity - People,Supplies and Services,364301,Grants to Voluntary Organisations,04-Dec-2024,000010327234328,WWW.GONORTHEAST.CO.UK,4111,Hardship,-10.00,0.00,-10.00
Resources BK0010,Digital Services,065323,Operations - Installations,Supplies and Services,304639,Equipment and Materials,04-Dec-2024,000010327234658,SCREWFIX DIRECT,5211,Technicians-supplies,25.38,0.00,25.38
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085962,Aycliffe Secure - Durham,Employees,040149,Recruitment Instruction and Training,04-Dec-2024,000010327235036,PREMIER INN,3811,Training-all costs,113.99,0.00,113.99
