Directorate,PROCESSING DATE,MERCHANT NAME,GROSS AMOUNT,MERCHANT CATEGORY CODE DESCRIPTION
People Services,09/05/2023,SHOWCASE DERBY,£21.40,MOTION PICTURE THEATRES
People Services,10/05/2023,JUMPIN FUN,£30.00,RECREATION SERVICES (NOT ELSEWHERE CLASSIFIED)
People Services,10/05/2023,AMAZON.CO.UK T55405IX5,£37.60,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,10/05/2023,NEXT DIRECTORY,£87.70,FAMILY CLOTHING STORES
People Services,10/05/2023,TIMPSON LTD,£20.00,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,11/05/2023,AMZNMKTPLACE,£21.98,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,11/05/2023,FOOTASYLUM LIMITED,£99.99,FAMILY CLOTHING STORES
People Services,12/05/2023,DECATHLON UK LIMITED,£201.48,SPORTING GOODS STORES
People Services,15/05/2023,TESCO STORES 2404,£10.00,"GROCERY STORES, SUPERMARKETS"
People Services,15/05/2023,DERBY FIT SPORTS DIREC,£67.99,SPORTING GOODS STORES
People Services,15/05/2023,LEGOLAND WINDSOR,£129.00,"AMUSEMENT PARKS,CARNIVALS,CIRCUS,FORTUNE TELLERS"
People Services,15/05/2023,LEGOLAND WINDSOR,£75.00,"AMUSEMENT PARKS,CARNIVALS,CIRCUS,FORTUNE TELLERS"
People Services,17/05/2023,HOLLYWOOD BOWL,£20.06,"CLUBS-CNTRY,MBRSHIP(ATHLET,REC,SPRTS,PRIVATE GOLF"
People Services,22/05/2023,HMCOURTS-SVS.GOV.U,£100.00,FINES
People Services,23/05/2023,ASL@CROMFORD MILLS,£13.50,TOURIST ATTRACTIONS AND EXHIBITS
People Services,23/05/2023,CURRYS ONLINE,£469.00,ELECTRONIC SALES
People Services,23/05/2023,SHOWCASE DERBY,£37.50,MOTION PICTURE THEATRES
People Services,24/05/2023,CURRYS ONLINE,£169.00,ELECTRONIC SALES
People Services,24/05/2023,ASL@CROMFORD MILLS,£13.50,TOURIST ATTRACTIONS AND EXHIBITS
People Services,24/05/2023,AMZNMKTPLACE AMAZON.CO,£119.95,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,24/05/2023,CURRYS ONLINE,£169.00,ELECTRONIC SALES
People Services,24/05/2023,HTTPS://OXYGENFREEJUMP,£45.00,RECREATION SERVICES (NOT ELSEWHERE CLASSIFIED)
People Services,24/05/2023,AMAZON.CO.UK RO21Y09B5,£55.28,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,24/05/2023,SHOWCASE DERBY,£60.80,MOTION PICTURE THEATRES
People Services,24/05/2023,BLUEBELL DAIRY FARM,£138.00,"AMUSEMENT PARKS,CARNIVALS,CIRCUS,FORTUNE TELLERS"
People Services,30/05/2023,SUMUP   WIRKSWORTH LEG,£6.00,"ORGANISATIONS, CHARITABLE AND SOCIAL SERVICES"
People Services,30/05/2023,CROMFORD MILL LTD,£17.15,"GIFT, CARD, NOVELTY AND SOUVENIR SHOPS"
People Services,30/05/2023,SUMUP   WIRKSWORTH LEG,£3.00,"ORGANISATIONS, CHARITABLE AND SOCIAL SERVICES"
People Services,30/05/2023,SUMUP   BOOTHS BRICKS,£51.00,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,30/05/2023,WWW.GULLIVERSFUN.CO.UK,£104.00,TOURIST ATTRACTIONS AND EXHIBITS
People Services,30/05/2023,ARKWRIGHT SOCIETY,£3.50,AUTOMOBILE PARKING LOTS AND GARAGES
People Services,31/05/2023,ARKWRIGHT SOCIETY,£3.00,AUTOMOBILE PARKING LOTS AND GARAGES
People Services,02/06/2023,BLUEBELL DAIRY FARM,-£46.80,"AMUSEMENT PARKS,CARNIVALS,CIRCUS,FORTUNE TELLERS"
People Services,02/06/2023,GULLIVERS KINGDOM LTD,£11.00,"AMUSEMENT PARKS,CARNIVALS,CIRCUS,FORTUNE TELLERS"
People Services,02/06/2023,GULLIVERS KINGDOM LTD,£7.95,"AMUSEMENT PARKS,CARNIVALS,CIRCUS,FORTUNE TELLERS"
People Services,02/06/2023,CENTRAL ENG COOP,£6.85,"GROCERY STORES, SUPERMARKETS"
People Services,06/06/2023,HTTPS://OXYGENFREEJUMP,£22.00,RECREATION SERVICES (NOT ELSEWHERE CLASSIFIED)
People Services,07/06/2023,PARENTPAY E-COM R,£35.00,"COLLEGES, UNIV, PRO SCHOOLS, JUNIOR COLLEGES"
People Services,07/06/2023,WWW.ARGOS.CO.UK,£40.00,DEPARTMENT STORES
People Services,07/06/2023,WWW.ARGOS.CO.UK,£37.95,DEPARTMENT STORES
People Services,07/06/2023,WWW.ARGOS.CO.UK,£37.95,DEPARTMENT STORES
People Services,07/06/2023,ASDA SUPERSTORE,£85.05,"GROCERY STORES, SUPERMARKETS"
People Services,07/06/2023,WWW.ARGOS.CO.UK,-£37.95,DEPARTMENT STORES
People Services,08/06/2023,AMAZON.CO.UK ZA9CN5FO5,£147.96,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,14/06/2023,SHOWCASE DERBY,£65.10,MOTION PICTURE THEATRES
People Services,15/06/2023,PARENTPAY E-COM R,£20.00,"COLLEGES, UNIV, PRO SCHOOLS, JUNIOR COLLEGES"
People Services,15/06/2023,DERBY CITY COUNCIL TEL,£20.00,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,15/06/2023,DERBY CITY COUNCIL TEL,£10.00,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,15/06/2023,AMZNMKTPLACE AMAZON.CO,£16.96,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,16/05/2023,LIDL GB,£11.40,"GROCERY STORES, SUPERMARKETS"
People Services,17/05/2023,ALDI,£11.40,"GROCERY STORES, SUPERMARKETS"
People Services,23/05/2023,AMZNMKTPLACE,£51.86,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,23/05/2023,POST OFFICE COUNTER,£17.80,POSTAL SERVICES-GOVERNMENT ONLY
People Services,24/05/2023,AMZNMKTPLACE,£32.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,24/05/2023,POST OFFICE COUNTER,£3.75,POSTAL SERVICES-GOVERNMENT ONLY
People Services,13/06/2023,POST OFFICE COUNTER,£7.50,POSTAL SERVICES-GOVERNMENT ONLY
People Services,20/06/2023,POST OFFICE COUNTER,£7.55,POSTAL SERVICES-GOVERNMENT ONLY
People Services,27/06/2023,AMAZON.CO.UK 3B2OZ7475,£41.76,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,27/06/2023,AMZNMKTPLACE,£20.40,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,27/06/2023,POST OFFICE COUNTER,£7.50,POSTAL SERVICES-GOVERNMENT ONLY
People Services,29/06/2023,AMAZON.CO.UK 0D3A07UB5,£3.99,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,14/04/2023,HEMMING GROUP AWARDS,384.00,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,14/04/2023,HEMMING GROUP AWARDS,384.00,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,19/04/2023,SAINSBURYS S/MKTS,23.20,"GROCERY STORES, SUPERMARKETS"
People Services,04/05/2023,POST OFFICE COUNTER,£6.85,POSTAL SERVICES-GOVERNMENT ONLY
People Services,09/05/2023,AMZNMKTPLACE AMAZON.CO,£49.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,09/05/2023,YORKPUBLISH,£65.45,BOOK STORES
People Services,16/05/2023,AMAZON.CO.UK 9K4S19YS5,£24.99,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,19/05/2023,FEE2PAYONLINE,£2.50,POSTAL SERVICES-GOVERNMENT ONLY
People Services,19/05/2023,AMAZON.CO.UK RM6ZC8EU5,£29.99,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,19/05/2023,POST OFFICE COUNTER,£3.75,POSTAL SERVICES-GOVERNMENT ONLY
People Services,25/05/2023,AMZNMKTPLACE,£19.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,22/06/2023,POST OFFICE COUNTER,£13.05,POSTAL SERVICES-GOVERNMENT ONLY
Corporate Resources,05/05/2023,AMZNMKTPLACE,£67.96,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Corporate Resources,05/05/2023,AMZNMKTPLACE,£16.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,14/04/2023,HEMMING GROUP AWARDS,384.00,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,14/04/2023,HEMMING GROUP AWARDS,384.00,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,19/04/2023,POST OFFICE COUNTER,4.19,POSTAL SERVICES-GOVERNMENT ONLY
People Services,19/04/2023,AMZNMKTPLACE AMAZON.CO,23.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,20/04/2023,AMZNMKTPLACE,39.78,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,26/04/2023,POST OFFICE COUNTER,9.30,POSTAL SERVICES-GOVERNMENT ONLY
People Services,15/05/2023,TEACHER CPD,£25.00,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED
People Services,15/05/2023,TEACHER CPD,£25.00,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED
People Services,17/05/2023,POST OFFICE COUNTER,£2.25,POSTAL SERVICES-GOVERNMENT ONLY
People Services,18/05/2023,AMZNMKTPLACE,£9.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,19/05/2023,EB  MATHSCONF32-A COMP,£33.22,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,24/05/2023,AMAZON.CO.UK 1L28B24J5,£63.52,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,24/05/2023,RNIB ENTERPRISE,£71.70,DENTAL/LAB/MED/OPHTHALMIC HOSP EQUIP & SUPPLIES
People Services,25/05/2023,SHAHENSHAH,£49.00,FAST FOOD RESTAURANTS
People Services,01/06/2023,POST OFFICE COUNTER,£6.15,POSTAL SERVICES-GOVERNMENT ONLY
People Services,06/06/2023,COMMUNICATE-ED,£155.00,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED
People Services,07/06/2023,EARLY EDUCATION,£59.50,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED
People Services,07/06/2023,WWW.HIGHFIELDS.CO.UK,£60.00,BOOK STORES
People Services,08/06/2023,POST OFFICE COUNTER,£4.50,POSTAL SERVICES-GOVERNMENT ONLY
People Services,12/06/2023,POST OFFICE COUNTER,£8.40,POSTAL SERVICES-GOVERNMENT ONLY
People Services,14/06/2023,BCC CLEAN AIR ZONE,£8.00,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,15/06/2023,AMAZON.CO.UK F59C26IA5,£19.85,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,15/06/2023,POST OFFICE COUNTER,£15.00,POSTAL SERVICES-GOVERNMENT ONLY
People Services,19/06/2023,POST OFFICE COUNTER,£8.20,POSTAL SERVICES-GOVERNMENT ONLY
People Services,20/06/2023,AMZNMKTPLACE,£43.98,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,22/06/2023,POST OFFICE COUNTER,£3.10,POSTAL SERVICES-GOVERNMENT ONLY
People Services,26/06/2023,FACEBK  FXF9UP7T82,£2.00,ADVERTISING SERVICES
People Services,26/06/2023,FACEBK  8N2CTP7T82,£1.97,ADVERTISING SERVICES
People Services,26/06/2023,FACEBK  YYSJ3PXS82,£2.00,ADVERTISING SERVICES
People Services,26/06/2023,POST OFFICE COUNTER,£1.15,POSTAL SERVICES-GOVERNMENT ONLY
People Services,26/06/2023,FACEBK  PYSVKNTS82,£1.24,ADVERTISING SERVICES
People Services,27/06/2023,FACEBK  RW8CWQBT82,£1.04,ADVERTISING SERVICES
People Services,28/06/2023,FACEBK  PWEAZNPS82,£3.00,ADVERTISING SERVICES
People Services,30/06/2023,AMAZON.CO.UK V55UJ41C5,£19.67,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,03/07/2023,FACEBK 9RFVGN3T82,£2.75,ADVERTISING SERVICES
People Services,04/04/2023,CATERPAC DISPOSABLES L,193.06,"COMMERCIAL EQUIPMENT, NOT ELSEWHERE CLASSIFIED"
People Services,04/04/2023,COSTCO WHOLESALE #111,37.81,"BUYING/SHOPPING CLUBS, SERVICES"
People Services,04/04/2023,CATERPAC DISPOSABLES L,41.97,"COMMERCIAL EQUIPMENT, NOT ELSEWHERE CLASSIFIED"
People Services,04/04/2023,SAINSBURYS S/MKTS,41.35,"GROCERY STORES, SUPERMARKETS"
People Services,05/04/2023,WWW.ARGOS.CO.UK,53.95,DEPARTMENT STORES
People Services,11/04/2023,ALDI,37.44,"GROCERY STORES, SUPERMARKETS"
People Services,12/04/2023,ASDA GROCERIES ONLINE,116.67,"GROCERY STORES, SUPERMARKETS"
People Services,12/04/2023,ASDA GROCERIES ONLINE,-1.00,"GROCERY STORES, SUPERMARKETS"
People Services,13/04/2023,WM MORRISONS STORE,13.99,"GROCERY STORES, SUPERMARKETS"
People Services,26/04/2023,LIDL GB CHADDESDEN,27.83,"GROCERY STORES, SUPERMARKETS"
People Services,02/05/2023,WM MORRISONS STORE,11.52,"GROCERY STORES, SUPERMARKETS"
People Services,03/05/2023,ASDA GROCERIES ONLINE,-£0.95,"GROCERY STORES, SUPERMARKETS"
People Services,03/05/2023,ASDA GROCERIES ONLINE,£118.31,"GROCERY STORES, SUPERMARKETS"
People Services,03/05/2023,HERON FOODS CHADDESDEN,£21.85,"GROCERY STORES, SUPERMARKETS"
People Services,04/05/2023,WM MORRISONS STORE,£21.05,"GROCERY STORES, SUPERMARKETS"
People Services,09/05/2023,ALDI,£5.76,"GROCERY STORES, SUPERMARKETS"
People Services,10/05/2023,ASDA GROCERIES ONLINE,£63.84,"GROCERY STORES, SUPERMARKETS"
People Services,11/05/2023,TESCO STORES,£7.36,"GROCERY STORES, SUPERMARKETS"
People Services,15/05/2023,COSTCO WHOLESALE #111,£12.56,"BUYING/SHOPPING CLUBS, SERVICES"
People Services,16/05/2023,ASDA SUPERSTORE,£89.86,"GROCERY STORES, SUPERMARKETS"
People Services,23/05/2023,ASDA GROCERIES ONLINE,£96.66,"GROCERY STORES, SUPERMARKETS"
People Services,23/05/2023,WM MORRISONS STORE,£19.48,"GROCERY STORES, SUPERMARKETS"
People Services,25/05/2023,FARMFOODS 539,£3.75,"GROCERY STORES, SUPERMARKETS"
People Services,31/05/2023,WM MORRISONS STORE,£10.00,"GROCERY STORES, SUPERMARKETS"
People Services,31/05/2023,ASDA GROCERIES ONLINE,-£2.75,"GROCERY STORES, SUPERMARKETS"
People Services,31/05/2023,ASDA GROCERIES ONLINE,£129.96,"GROCERY STORES, SUPERMARKETS"
People Services,01/06/2023,WM MORRISONS STORE,£17.26,"GROCERY STORES, SUPERMARKETS"
People Services,01/06/2023,WM MORRISONS STORE,£12.79,"GROCERY STORES, SUPERMARKETS"
People Services,06/06/2023,ASDA GROCERIES ONLINE,£126.18,"GROCERY STORES, SUPERMARKETS"
People Services,06/06/2023,ASDA GROCERIES ONLINE,£0.25,"GROCERY STORES, SUPERMARKETS"
People Services,07/06/2023,WM MORRISONS STORE,£6.63,"GROCERY STORES, SUPERMARKETS"
People Services,08/06/2023,HERON FOODS CHADDESDEN,£13.08,"GROCERY STORES, SUPERMARKETS"
People Services,13/06/2023,CATERPAC DISPOSABLES L,£88.78,"COMMERCIAL EQUIPMENT, NOT ELSEWHERE CLASSIFIED"
People Services,13/06/2023,COSTCO WHOLESALE #111,£30.34,"BUYING/SHOPPING CLUBS, SERVICES"
People Services,13/06/2023,T J MORRIS LTD,£29.96,HARDWARE STORES
People Services,13/06/2023,ICELAND - 1712-DERBY F,£33.75,"GROCERY STORES, SUPERMARKETS"
People Services,14/06/2023,ASDA GROCERIES ONLINE,£24.78,"GROCERY STORES, SUPERMARKETS"
People Services,14/06/2023,ASDA GROCERIES ONLINE,£9.95,"GROCERY STORES, SUPERMARKETS"
People Services,14/06/2023,LIDL GB CHADDESDEN,£23.67,"GROCERY STORES, SUPERMARKETS"
People Services,14/06/2023,ASDA GROCERIES ONLINE,£92.37,"GROCERY STORES, SUPERMARKETS"
People Services,14/06/2023,ASDA GROCERIES ONLINE,-£13.10,"GROCERY STORES, SUPERMARKETS"
People Services,14/06/2023,ASDA GROCERIES ONLINE,-£5.35,"GROCERY STORES, SUPERMARKETS"
People Services,22/06/2023,SAINSBURYS S/MKTS,£18.09,"GROCERY STORES, SUPERMARKETS"
People Services,22/06/2023,ICELAND - 1712-DERBY F,£22.67,"GROCERY STORES, SUPERMARKETS"
People Services,27/06/2023,ASDA GROCERIES ONLINE,£130.21,"GROCERY STORES, SUPERMARKETS"
People Services,27/06/2023,ASDA GROCERIES ONLINE,-£1.49,"GROCERY STORES, SUPERMARKETS"
People Services,28/06/2023,HERON FOODS CHADDESDEN,£11.98,"GROCERY STORES, SUPERMARKETS"
People Services,29/06/2023,B&M 006 - DARLEY,£6.97,SUNDRY GENERAL MERCHANDISE
People Services,29/06/2023,B&M 006 - DARLEY,£11.99,SUNDRY GENERAL MERCHANDISE
Corporate Resources,02/05/2023,ARGOS LTD,-360.00,DISCOUNT STORES
Corporate Resources,21/06/2023,CENTRAL CARPETS,£500.00,FLOOR COVERING STORES
Corporate Resources,05/04/2023,WWW.BANNERUK.COM,9.07,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,05/04/2023,WWW.BANNERUK.COM,17.52,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,05/04/2023,WWW.BANNERUK.COM,21.87,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,05/04/2023,WWW.BANNERUK.COM,35.27,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,05/04/2023,WWW.BANNERUK.COM,50.29,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,05/04/2023,WWW.BANNERUK.COM,31.28,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,13/04/2023,WWW.BANNERUK.COM,48.74,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,20/04/2023,WWW.BANNERUK.COM,4.94,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,20/04/2023,WWW.BANNERUK.COM,118.80,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,20/04/2023,WWW.BANNERUK.COM,2.52,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,21/04/2023,WWW.BANNERUK.COM,16.09,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,21/04/2023,WWW.BANNERUK.COM,21.77,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,21/04/2023,WWW.BANNERUK.COM,14.14,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,24/04/2023,WWW.BANNERUK.COM,27.74,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,24/04/2023,WWW.BANNERUK.COM,26.64,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,24/04/2023,WWW.BANNERUK.COM,65.22,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,25/04/2023,WWW.BANNERUK.COM,17.11,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,28/04/2023,WWW.BANNERUK.COM,2.92,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,28/04/2023,WWW.BANNERUK.COM,356.33,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,02/05/2023,WWW.BANNERUK.COM,3.02,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,02/05/2023,WWW.BANNERUK.COM,3.02,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,03/05/2023,WWW.BANNERUK.COM,£13.97,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,03/05/2023,WWW.BANNERUK.COM,£2.88,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,03/05/2023,WWW.BANNERUK.COM,£42.94,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,09/05/2023,WWW.BANNERUK.COM,£2.88,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,09/05/2023,WWW.BANNERUK.COM,£9.46,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,12/05/2023,WWW.BANNERUK.COM,£217.46,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,12/05/2023,WWW.BANNERUK.COM,£19.73,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,12/05/2023,WWW.BANNERUK.COM,£10.03,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,12/05/2023,WWW.BANNERUK.COM,£7.94,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,12/05/2023,WWW.BANNERUK.COM,£3.13,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,12/05/2023,WWW.BANNERUK.COM,£10.49,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,12/05/2023,WWW.BANNERUK.COM,£0.53,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,12/05/2023,WWW.BANNERUK.COM,£19.49,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,12/05/2023,WWW.BANNERUK.COM,£39.41,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,12/05/2023,WWW.BANNERUK.COM,£9.98,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,15/05/2023,WWW.BANNERUK.COM,£65.62,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,15/05/2023,WWW.BANNERUK.COM,£0.24,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,15/05/2023,WWW.BANNERUK.COM,£1.03,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,22/05/2023,WWW.BANNERUK.COM,£2.88,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,22/05/2023,WWW.BANNERUK.COM,£0.58,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,22/05/2023,WWW.BANNERUK.COM,£1.15,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,23/05/2023,WWW.BANNERUK.COM,£2.75,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,23/05/2023,WWW.BANNERUK.COM,£1.16,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,23/05/2023,WWW.BANNERUK.COM,£3.80,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,23/05/2023,WWW.BANNERUK.COM,£5.64,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,23/05/2023,WWW.BANNERUK.COM,£6.39,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,23/05/2023,WWW.BANNERUK.COM,£9.48,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,23/05/2023,WWW.BANNERUK.COM,£14.09,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,24/05/2023,WWW.BANNERUK.COM,£5.71,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,24/05/2023,WWW.BANNERUK.COM,£2.75,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,24/05/2023,WWW.BANNERUK.COM,£13.74,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,24/05/2023,WWW.BANNERUK.COM,£5.50,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,24/05/2023,WWW.BANNERUK.COM,£5.50,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,26/05/2023,WWW.BANNERUK.COM,£2.86,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,26/05/2023,WWW.BANNERUK.COM,£38.98,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,26/05/2023,WWW.BANNERUK.COM,£1.10,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,30/05/2023,WWW.BANNERUK.COM,£2.52,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,01/06/2023,WWW.BANNERUK.COM,£15.22,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,01/06/2023,WWW.BANNERUK.COM,£179.99,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,01/06/2023,WWW.BANNERUK.COM,£6.43,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,01/06/2023,WWW.BANNERUK.COM,£7.99,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,06/06/2023,WWW.BANNERUK.COM,£4.49,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,06/06/2023,WWW.BANNERUK.COM,£46.06,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,06/06/2023,WWW.BANNERUK.COM,£3.70,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,06/06/2023,WWW.BANNERUK.COM,£5.96,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,07/06/2023,WWW.BANNERUK.COM,£1.73,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,07/06/2023,WWW.BANNERUK.COM,£0.13,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,09/06/2023,WWW.BANNERUK.COM,£1.44,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,09/06/2023,WWW.BANNERUK.COM,£24.33,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,09/06/2023,WWW.BANNERUK.COM,£4.73,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,09/06/2023,WWW.BANNERUK.COM,£1.63,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
Corporate Resources,09/06/2023,WWW.BANNERUK.COM,£3.95,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
