,Payments for Publishing for Invoices paid between 01-AUG-2023 and 31-AUG-2023,,,,,,
HOIST UK LIMITED,130699,02-AUG-2023,570.00,Regeneration & Place,D2700,"Repairs, alterations and maintenance",
HOLLY BANK TRUST,130712,02-AUG-2023,"9,204.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
HOLLY BANK TRUST,136817,30-AUG-2023,"9,204.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
HOME HEATING SYSTEMS LIMITED,134828,18-AUG-2023,-3.00,Regeneration & Place,H7100,Consultants,
HOME HEATING SYSTEMS LIMITED,134828,18-AUG-2023,-377.72,Regeneration & Place,H7100,Customer and Client Receipts - Vatable,
HOME HEATING SYSTEMS LIMITED,134828,18-AUG-2023,"4,380.72",Capital,C4215,Expenditure on Capital Loans,
HOME PROPERTY SOLUTIONS,130935,02-AUG-2023,"1,986.86",Regeneration & Place,H6080,Expenses,
HOME PROPERTY SOLUTIONS,135319,23-AUG-2023,"2,382.80",Regeneration & Place,H6080,Expenses,
HOOVES FOR HEALING,131859,04-AUG-2023,740.00,"Children, Families & Education",E3680,Care Provision,
HOPE-BORLAND ASSOCIATES LTD,130756,02-AUG-2023,818.37,Law & Governance (Monitoring Officer),A1305,Legal Service Provider,
HOYLAKE COTTAGE HOSP TRUST LTD,130713,02-AUG-2023,600.00,Adults Care and Health and Strategic Commissioning,S6131,Memory & Cognition Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,130713,02-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6131,Memory & Cognition Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,136818,30-AUG-2023,600.00,Adults Care and Health and Strategic Commissioning,S6131,Memory & Cognition Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,136818,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6131,Memory & Cognition Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,136818,30-AUG-2023,"2,684.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,130713,02-AUG-2023,"2,684.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,136818,30-AUG-2023,"2,684.00",Adults Care and Health and Strategic Commissioning,S6141,Mental Health Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,136818,30-AUG-2023,600.00,Adults Care and Health and Strategic Commissioning,S6141,Mental Health Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,130713,02-AUG-2023,600.00,Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,136818,30-AUG-2023,"2,684.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,130713,02-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,136818,30-AUG-2023,"1,968.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,136818,30-AUG-2023,"2,684.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,136818,30-AUG-2023,600.00,Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,136818,30-AUG-2023,"2,684.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,130713,02-AUG-2023,"2,684.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,136818,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,136818,30-AUG-2023,"2,684.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,136818,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,136818,30-AUG-2023,"2,684.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,136818,30-AUG-2023,600.00,Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,130713,02-AUG-2023,"2,684.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,130713,02-AUG-2023,"2,684.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,136818,30-AUG-2023,"2,684.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,130713,02-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,130713,02-AUG-2023,"2,684.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,130713,02-AUG-2023,"2,684.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,136818,30-AUG-2023,"2,684.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,130713,02-AUG-2023,"1,968.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,130713,02-AUG-2023,600.00,Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,130713,02-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,130713,02-AUG-2023,"2,684.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,136818,30-AUG-2023,"2,684.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,130713,02-AUG-2023,"2,684.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,136818,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,130713,02-AUG-2023,"2,684.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,130713,02-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,136818,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,130713,02-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6151,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,136818,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6151,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,130713,02-AUG-2023,"3,450.00",Adults Care and Health and Strategic Commissioning,S6166,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,136818,30-AUG-2023,"3,450.00",Adults Care and Health and Strategic Commissioning,S6166,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,130713,02-AUG-2023,"2,300.57",Adults Care and Health and Strategic Commissioning,S6998,Physical Support - Older People (65+),
HOYLAKE COTTAGE HOSP TRUST LTD,130713,02-AUG-2023,514.29,Adults Care and Health and Strategic Commissioning,S6998,Physical Support - Older People (65+),
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,4.82,Adults Care and Health and Strategic Commissioning,S6136,"Repairs, alterations and maintenance",
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,9.64,Adults Care and Health and Strategic Commissioning,S6136,"Repairs, alterations and maintenance",
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,28.91,"Children, Families & Education",E1200,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,57.82,"Children, Families & Education",E1210,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132242,08-AUG-2023,405.00,"Children, Families & Education",E1210,"Repairs, alterations and maintenance",
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,28.91,"Children, Families & Education",E1420,"Repairs, alterations and maintenance",
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,386.37,"Children, Families & Education",E1420,"Repairs, alterations and maintenance",
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,28.91,"Children, Families & Education",E1440,"Repairs, alterations and maintenance",
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,28.91,"Children, Families & Education",E1440,"Repairs, alterations and maintenance",
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,24.09,"Children, Families & Education",E1440,"Repairs, alterations and maintenance",
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,72.29,"Children, Families & Education",E1750,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,272.47,"Children, Families & Education",E1810,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,28.91,"Children, Families & Education",E1860,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,257.88,"Children, Families & Education",E1910,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132242,08-AUG-2023,24.27,"Children, Families & Education",E1910,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,28.92,"Children, Families & Education",E1920,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,57.82,"Children, Families & Education",E2020,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132242,08-AUG-2023,86.73,"Children, Families & Education",E2020,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132242,08-AUG-2023,27.36,"Children, Families & Education",E2100,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,444.19,"Children, Families & Education",E2120,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132242,08-AUG-2023,27.36,"Children, Families & Education",E2130,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132242,08-AUG-2023,27.36,"Children, Families & Education",E2200,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,28.91,"Children, Families & Education",E2280,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,28.91,"Children, Families & Education",E2290,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,844.58,"Children, Families & Education",E2290,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,28.91,"Children, Families & Education",E2380,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,301.09,"Children, Families & Education",E2380,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,86.73,"Children, Families & Education",E2400,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132242,08-AUG-2023,27.36,"Children, Families & Education",E2420,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,28.91,"Children, Families & Education",E2420,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,28.91,"Children, Families & Education",E2450,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,358.04,"Children, Families & Education",E2510,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,28.91,"Children, Families & Education",E2510,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,57.82,"Children, Families & Education",E2520,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,28.91,"Children, Families & Education",E2540,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,28.91,"Children, Families & Education",E2610,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132242,08-AUG-2023,27.36,"Children, Families & Education",E2610,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,86.73,"Children, Families & Education",E2630,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,28.91,"Children, Families & Education",E2880,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,28.91,"Children, Families & Education",E3040,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,28.91,"Children, Families & Education",E3050,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,200.34,"Children, Families & Education",E3090,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,28.91,"Children, Families & Education",E3090,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,300.80,"Children, Families & Education",E3120,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,28.91,"Children, Families & Education",E3160,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,28.91,"Children, Families & Education",E3160,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,329.42,"Children, Families & Education",E3220,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,329.13,"Children, Families & Education",E3230,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,57.82,"Children, Families & Education",E3620,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,17.76,"Children, Families & Education",E5430,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,34.51,"Children, Families & Education",E5540,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132242,08-AUG-2023,69.02,"Children, Families & Education",E5540,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132242,08-AUG-2023,229.54,"Children, Families & Education",E5560,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,443.71,"Children, Families & Education",E5560,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132242,08-AUG-2023,208.68,"Children, Families & Education",E5580,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132242,08-AUG-2023,45.60,"Children, Families & Education",E5620,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,48.18,"Children, Families & Education",E5620,Hired or Contracted services,
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,52.85,"Children, Families & Education",E7493,"Repairs, alterations and maintenance",
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,108.13,"Children, Families & Education",E8660,"Repairs, alterations and maintenance",
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,28.91,"Children, Families & Education",E8760,"Repairs, alterations and maintenance",
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,38.54,"Children, Families & Education",E8940,"Repairs, alterations and maintenance",
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,28.91,"Children, Families & Education",E9160,"Repairs, alterations and maintenance",
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,28.91,"Children, Families & Education",E9160,"Repairs, alterations and maintenance",
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,28.91,"Children, Families & Education",E9160,"Repairs, alterations and maintenance",
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,38.54,Neighbourhood Services,D3502,"Repairs, alterations and maintenance",
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,52.85,Neighbourhood Services,D3504,"Repairs, alterations and maintenance",
HSL COMPLIANCE LIMITED,132242,08-AUG-2023,38.54,Neighbourhood Services,D3504,"Repairs, alterations and maintenance",
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,38.54,Neighbourhood Services,D3504,"Repairs, alterations and maintenance",
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,38.54,Neighbourhood Services,D3505,"Repairs, alterations and maintenance",
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,38.54,Neighbourhood Services,D3506,"Repairs, alterations and maintenance",
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,38.54,Neighbourhood Services,D3506,"Repairs, alterations and maintenance",
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,38.54,Neighbourhood Services,D3512,"Repairs, alterations and maintenance",
HSL COMPLIANCE LIMITED,132687,09-AUG-2023,38.54,Neighbourhood Services,D3515,"Repairs, alterations and maintenance",
